nama,komentar
K***s,"seperti biasa, mantapsss"
N***o,keren
Windiyantoro,Barang ok seeuai peeanan
A***d,ok.
H***b,Modelnya keren
Rosyi,real picture...pas di badan.. recommended bgt 👍
V***i,Pertama kali cobain kaos erigo. Baju sesuai dengan yang ada di foto. Bahan bagus banget! sablonnya juga bagus. pokoknya mantap 👌🏼
S***a,Oke... Sudah order 2x disini
h***i,bagus kerenn
Russel,Bahannya lembut dan ga panas. Suka banget
Asep,Diterima dengan baik
R***i,cocok
Elba,"Bahan adem, paling suka beli kaos erigo,,enak dipakai soalnya,,Beli pas flash sale,,👍"
Hafidz,"bajunya bagus,bahannya gk tipis,nyaman waktu dipakek,pokonya gk rugi kalo beli"
yayat,bagus cocok buat kembaran
H***t,"keren,, sdh bbrp kali belanja.. mohon di tingkatkan diskon nya"
A***i,"Baju oke, langsung masuk lemari.."
Rezty,👍👍
A***n,bahan nya adem sablonan nya juga oke
Lady,"model nya keren, bahan bagus, kualitas terbaikk, Erigo keren"
Hotnando,bahan dan jahitan baguss... semoga sablon awet..
Alvian,Bahan adem .. Tks ...
Doodee,"ukuran baju pas sekali, jahitan bagus. the best 👍👍 pengiriman agak lama tapi barangnya selamat sampai tujuam"
D***q,"Modelnya bagus. Bahannya adem, pengiriman cepat"
Putri,"Terima kasih, barang sudah sampai dan diterima dengan baik. Seller fast response, recommended seller, terima kasih"
John,"seperti biasa erigo gk prnah ngecewain soal kualitas produk nya, dn bnr"" memuaskan 🔥👍 cuma saya sedikit kecewa dngn pengiriman kurir yg bgitu lama pdhal sudah sampa... "
Arif,"Bahan nya adem, mantap lah"
H***t,baju nya benar2 bagusssssss
sioham,"pengiriman cepat, barang ok"
Bimo,"modelnya bagus banget, btw stikernya lucu"
L***g,"bagus, terima kasih"
kai,Kerennnnnn
Reza,Kaos adem mantap sesuai ekspektasi
Daniel,barang sudah sampai... terima kasih
Achmad,mantap
Sutiana,bagussss
Tifa,passs mantabbbb asyekkkk
Agus,murah tapi kualitas mantap
Liyon,mantap
Yasiin,baju bagus sesuai pesanan
Imam,kirain bahan kaosnya tebel tp lumayan lah sesuai harga .Mksh
H***i,MANTULMANTULMANTULMANTULMANTULMANTULMANTUL
Ahmad,Bagus
w***n,Baguuss dan pas
Nur,bahan bagus sesuai dengan harga
Jefri,keren bet dah.. bahannya adem & nyaman dpakai
Fariz,Mantap bahan bagus sablonan bagus tapi pengiriman agak lama mohon di percepat lagi
unang,ntaps betul 👌
Julio,mantapp lahh
yanuarista,
