nama,komentar
Herdina,bahannya tipis
K***s,masalah pengiriman yang sangat lama
R***o,"sorry gw ksh bintang 3 biar di notice erigo ini produk bagus loh, udh go international. barangnya sih gak mengecewakan, yg bikin agak sedikit kecewa itu kurir/ ekspedisin... "
Y***a,Plastiknya yang bagus dong…masak udah koyak2..😢 mana buat kado lagi…buat kwalitas kaosnya sih oke..👍🏻
Arif,pengiriman paket nya agak lama
J***g,"sbg pembeli baru, barang bagus namun ukuran tidak seperti di deskripsi, saran agar pembeli memilih 1 ukuran di atasnya."
Maulana,nggak ada yg ukuran L
ZavitraHD,tngkyu
Wawan,ukuran realnya lebih kecil dri kaos sebelumnya
T***y,"Kiriman cepat sampai. Bahan kain agak tebal. Ukurannya kurang lebar dikit, berasa bukan 52. Thanks"
ULUL,"Ukurannya kecil,Bahan nya tipis"
E***a,"Gatau size m tapi malah gedean size s yg dibeli kemarin, menang dipanajangnya aja tapi ukuran dari bahu dada malah kekecilan."
denta,jahitan lenggan kurang rapi
galih,"Beli 2 ukuran M, yg 1 pas yg ini kekecilan"
g***a,produknya bagus tdk mengecewakan
Teuku,size XL nya kecil dan sempit beda dengan yang warna cream lebih besar XL nya
Bismark,Ini XL nya kecil
L***a,"Ukuran M saja masih ngepas banget di badan, barangnya ga sesuai sama size guide nya"
A***a,bajunya ternyata size cewe jd kalo s yg pas body tak pikir bakal oversize
Iroel,L nya kekecilan
Muhammad,"biasa aja si bahannya lebih bagus clothingan bandung serasa beli baju polos biasa trus di sablon,, tp bagus sih respon lapaknya cepat tanggap👍"
w***a,"lumayan lah,cuman sayang aja gak bisa retur,emng sih salah gue"
Muhammad,"biasa aja si bahannya lebih bagus clothingan bandung serasa beli baju polos biasa trus di sablon,, tp bagus sih respon lapaknya cepat tanggap👍"
w***a,"lumayan lah,cuman sayang aja gak bisa retur,emng sih salah gue"
