nama,komentar
R***a,pengiriman nya terlalu lama tapi sampai ke runah
erza,ukuran L tapi lengannya saya rasa terlalu pendek
B***i,"pokoknya puas.. pengiriman cepat,next inshaaAllah beli lagi"
S***a,modelnya keren bahan adem cuma jangkis aja lengannya terlalu pendek untuk uk.M
Zainal,Ok
b***u,suka dan puas
A***d,kualitas bahan bagus cuma lebih dirapihin lagi bagian jahitan nya
Fachri,bahannya bagus
Fiorent,"sejujurnya agak kependekan dibagian lengannya, tapi overall ok sih barangnya 👍"
Dwi,ok sesuai pesanan
Yoikineo,Oke
Budi,bagian lengan kurang panjang
z***a,kaos nya keren
Miftah,bahannya berkualitas
D***i,Salah sizenya minta M yg dikirim L.
Ihsan,"Ini kaos berbahan katun,nyaman dipakainya,harga lebih murah dibanding beli di toko fisik"
cecep,barang bagus tapi lama sampainya
Rudy,"Barang datang sesuai dengan pesanan, kualitas bahan bagus cuma untuk ukuran sepertinya harus naik 1 size. Untuk tshirt warna hitam dengan warna navy, berbeda ukuran sekit... "
Ayu,Ukuran sesuai. Modelnya keren 😎.
Heri,Kualitas produk bagus Ukuran sesuai Modelnya keren 😎
Andi,"baju mah bagus, adminnya yg lemot"
Elly,"Kualitas produk bagus. Nyaman dipakai.  Toleransi ukuran ternyata 3cm. Jadi utk XL di deskripsi tertulis Lebar bahu x Pjg kaos = 56x76, aktualnya 53x73. Pdhl tadinya ma... "
mohamadpurwanto,bagus
I,Nyaman dipakai. Modelnya keren 😎.
Fahmi,Nyaman dipakai. Modelnya keren 😎.
MARTIN,Ukuran sesuai.
Yani,Kualitas produk bagus. Modelnya keren. Ukuran sesuai. Bahan menyerap keringat. Bahannya adem.
Andrianus,xl nya kecil
Daniel,"saya beli 2 tp beda design dan warna ukuran M dan L, tp kok lebar badannya sama cuma panjang badannya aja beda dikit. Tp utk bahan ok lah."
N***k,"bagus, kainnya tipis"
benzmoeslim,ini asli erigo bukan sih.. kurang puas. jaitan nya banyak yg riject
Alden,ntaps..
A***e,lumayan lh
slamet,barang mantul pengiriman cepat 😍😍
furkon,baju nya ada yg sobek satu😔🙏 mau di jahit ga bisa ini mh sobek di kain nya ini mh bukan sobek ga ke jahit
D***i,Sudah sesuai deskripsi.
joko,pengiriman bagus
Ruslanmuh,baju erigo bahan nya makin kesini makin kaku dan gak adem
Nena,"paketnya cepat banget datangnya, anak saya suka sekali 👍"
Akbar,kecil bngt m nya min
khaeraboe,"barang nya sesuai,mantap pokoknya mah Joss"
Dinia,sayang pas belum pengiriman nda bisa direturn
R***i,"Untuk kaos yg ini sy beli untuk anak saya dan ternyata ukurannya pas.Kwalitas bahan cukup baik,hanya saja terlalu tipis ya dibanding merk *M*TH yg harganya jg sepadan."
hartono,ukuran XL tapi terlalu kecil
D***s,pengiriman cepat. sisa nya b aja
E***a,sesuai order dsn brng ok..pking baik
Ismail,kirain size XXL nya oversize🙂
A***n,ukuran L Dalam
Arif,"Pelayanan ramah, kualitas sesuai harga"
Kris,
