nama,komentar
A***a,"pelayanan kurang maksimal, respon lambat yg bales bot teros,, pengiriman diusahakan jangan memakai nextday karena sama aja seperti reguler di saat menjelang hari raya bes... "
Muhammad,"produk alhamdulillah diterima dengan keadaan baik. meskipun pengiriman ditunda 1 hari namun tidak masalah. hanya saja yang perlu diimprove adalah bagaimana admin melayani... "
Rendy,"barang bagus sesuai pesanan, tp saya kecewa pengiriman gak sesuai dari deadline pengantarannya, malah lambat 3 hari, sampai saya harus pakai jasa tambahan buat jemput bar... "
Salim,"pengiriman cepat, untuk packingan barang kurang safety, kualitas barang biasa saja, body hpnya licin(berbahan plastik) videonya dikirim ke official XIOAMI karena untuk m... "
F***i,"barang segel. sayang dapat barang defect pertama. retur ke bhinneka setelah cek barang dl ke SC xiaomi. respon admin kurang cepat karna masih jawaban Bot. dri tgl PO 10 a... "
Johan,"Videonya masih belum mulus, glittering, seperti focus berubah, features yg lain ok. ****************************"
IREGG,pengiriman agak lambat tp ya sudah lah yang penting barang sesuai dan tidak cacat
Zufrial,barang bagus pelayan minus
A***d,"Yaa, overall produknya bagus, tetapi ada satu masalah saya dapat produk yang ada bermasalah dengan baterai nya (daya tahannya tidak sesuai dengan kapasitas aslinya) agak... "
K***o,hp lumayan cepat panas dan pengiriman lama. kualitas kamera B sja.
L***n,"po nya amburadul ,, yg Po tgl belakangn malah dikirim duluan sedangkan saya pengiriman lama bgt po tgl 3 , dikirim baru tgl 12. , untung kurirnya cepet 1 hari sampai .sm... "
H***y,dikirim sesuai antrian👎👎
Aya,"proses pengiriman PO kacau, banyak yg pesan dr tgl 1 dikirim belakangan, sy pesen tgl 2, paket tiba tgl 9, berkat tim anteraja sameday yg bela2in anterin paket sy jam 9.3... "
