,nama,komentar,rating
0,N***i,Produk spt di foto seller.. what u pay what u get.,4
1,t***o,👍,4
2,t***o,👌,4
3,Fajar,"Agak bingung sih sama sama XL, tapi kok yang satu ke gedean yang satu ke kecilan, ternyata beda merk 😅",4
4,Geoff,Slow transport,4
5,Indra,sesuai diskripsi kualitas sesuai harga good job lanjutken,4
6,M***s,"jahitan, kancing rapih , rekomen nih",4
7,l***o,"kualitas bagusgan,lumayan tebal,dengan harga yang murah,gak nyesel belinya,oh iya kemarin bagian kerahnya ketarik sedikit masa langsung robek sih,semoga tahanlah satu tah... ",4
8,Firman,"Harganya oke, tp sayang size S nya kecil bgt, lebih kecil dari size S biasanya, kayanya harus naik 1-2 size",4
9,m***f,"kualitas lumayan soalnya aga gerah, saya order polos warna hitam size s",4
10,IPNU,proses pengirimannya cepat bahan lumayan bagus,4
11,Angger,"@aripraditya28 . 23 OCT 2021 Harga Rp28.900. Pengiriman lama. Jahitan krg rapi. Bahan kain bkn mnyerap kringat. Kualitas sesuai harga. Tinggiku 160, bb 55 pake ukuran M.... ",4
12,D***i,"ukuran S kecil bgt gak seperti biasanya,, tapi lumayanlah sesuai harga",4
13,Nurhadi,barang sesuai pesanan...,4
14,Nur,"packing rapi, pengiriman cepat, produk sesuai harga. sayang ya warna salemnya tdk real pict",4
15,Betty,Utk M nya kecil. Lbh baik naikin 1 size.,4
16,Ade,"barang sesuai pesanan , pengiriman lmyan CPT, thx seller sukses sll",4
17,I***n,pesan 2 ukuran yang xl mantap dan satu lagi yang S tidak ada kancingnya. memang model seperti itu atau cacat barangnya. kalau ndak ada kancingnya jelek dipakai jadinya..,4
18,K***m,tdk sesuai permintaan mau nya biru benhur dan tosca di kirm abu abu ke dua nya,4
19,Eny,"kaos nya yg di kirim beda2 merk merk for1 lbh kecil dr yg LJ92 padahal sama ukuran L for1 jahitan lebih rapi dr pd yg LJ92 jahitannya berantakan kwalitas bhan sama bgs,s... ",4
20,Wendi,"bajunya berbulu, jahitan ada yang salah, sesuai harga",4
21,r***t,Lumayan buat Gonta ganti sehari hari,4
22,Andi,"seller responsif, brg sesuai deskripsi, expedisi jelek brg d lempar walau ada org d rmh. Best utk seller nya.",4
23,Panji,cakep.......,4
24,D***s,"lumayan, sesuai ma harga 🙏",4
25,risky,"barang sesuai pesanan dan pas , dan dapet gratis masker... makasih ya... keren 😉",4
26,M***d,Sesuai Order... Terima Kasih.,4
27,D***n,good,4
28,f***n,sesuai dgn pesanan warnanya jg bagus,4
29,Fifi,lmayan bagus barangnya,4
30,Alvin,"bagus, warnanya seger keliatannya. bahan standar.",4
31,ShaDeva,"Barang ok sesuai pesanan, tp responnya lumayan lama bgt yaaa. . saya check out dan payment jam 8 pagi, baru dikirim brgnya sore jam 5an. Itupun setelah ditanya ke chat, m... ",4
32,Rezvandyo,bagus produknya,4
33,P***i,kekecilan,4
34,R***a,suka bangeeet,4
35,T***i,mantapppp cepattt kurirnya lumayan baik,4
36,Septiani,Proses cepat Pengiriman cepat Barang sesuai Mantappp,4
37,Alex,bagus lah....,4
38,ahmad,udh lama langganan tp ahir ahir ini sangatt slowresp,4
39,Evelyne,beli 2 kaos ukuran L. 1 produk bahan agaak kasar. ga nyaman di kulit. 1 lagi bahan lembut ukuran L dsini === ukuran M di toko normal,4
40,Mahardika,Paket datang sesuai pesanana Walaupun murah Tp nyaman dipakai Sesuai harga lah Ukuran pas Thanks,4
41,Chiro,ada bolong dikit tapi gak apa la untuk harga segitu,4
42,Alex,bahan oke cuma di bagian kerah agak berudul ujungnya untuk harga segini good lah,4
43,Agus,lumayan,4
44,H***i,barang bagus cuma pengiriman lama,4
45,Johan,respon cepat dan barang sesuai,4
46,Irvan,"barang sesuai yang di pesan. cuman beda warna beda bahan dan beda merk, tp lumayan buat pake nyantai.",4
47,Fauzan,Oke,4
48,F***n,,4
49,Agustina,,4
