nama,komentar
Lukman,tulisannya kaos polos panjang yg dikirim kaos polos pendek
d***a,"bahan enak nyaman juga ga panas, tapi sayang sekali lengannya panjang sebelah jadi kelihatan jelek."
wirahadhi,status stok harus sering di update ya min.. 😅
T***q,Classic blue size tidak sesuai pesanan
A***a,baju ada yg bolong
Antika,produk oke bangetttt. sudah ke 5 kali beli. tapiiii terqkhir kali ngga ada warna. Malqh dikirim warna random debgan alasan twlpon ngga diqngkat. sedih. yasudahlah.
Andry,"Kaosnya kurang satu, saya lupa video unboxing."
Jaja,"Barang bagus, cuma ukuran L nya agak besar sama juga kayak ukuran XL"
Rachmatun,bajunya robek bagian ketek
UTAMA,"bahannya lumayan sih, sy pesan pengen kyk di gambar..warna hitam..dikirimnya warna cream.."
antonio,Bahannya adem
Hendrawan,warna ngga sesuai pesanan gan..to ngga pa2 dah biarkan
Farrel,pesen 12 yg datang 11 capek deh...
sulastri,Ukuran sesuai. Warnanya mantap. Bahannya adem. Bahan menyerap keringat.
Bakrun,mudah luntur
ledo,bagus sh kaosnya cuma bahannya tipis
ELON,Not Bad.
Athaya,sesuai hrg
Nurkholis,emmmm
yadi,tidak ada pilihan warna
mukhlisin,di gambar bagus ternyata barangnya tipis dan lembek barang murahan.
Antho,smoga bisa kurang harganya
Agus,bahannya bagus....cuman pesanan saya bagian tangan besar sebelah.....tapi gpp masih bisa di tolelir.....
S***o,ok sesuai harga
Mukhlis,"BAHAN BAGUS, TAPI BARANG TIDAK DI CEK ADA BOLONG 2 KAOS DARI ORDERAN 11 KAOS . HARUSNYA DI CEK DULU SEBELUM PENGIRIMAN ."
A***l,top
muji,size tidak sesuai XXXL ngak ada barangnya bagus.
Dzaky,bahan tipis jadi adem dipakainya
Sanstore,oke
Djonny,"pesan tiga warna dikirim satu warna ,"
F***a,2 hari baru sampe siang lagi
E***y,meskipun tulisannya sm2 XL tp ukurannya beda. yg Pink lebih kecil 3cm
Billy,salah kirim warna
I***i,B aja
Freddy,terasa berbulu
I***I,baru nyampe langsung cuci rendam dan ketshuan keluat warna alias luntur
Arifunipon,kaosnya lumayan lah sesuai harga
Jhoni,barang bagus sesuai dg harga....muga berkah dan awet
Nurindyah,Warna orange nya trnyata gonjreng gak sperti di contoh... kirain orange yg soft
Rosadi,"Paketnya sudah sampe td siang, cuma barusan pas mau pulang jatoh dari motor, ga tau deh di mana jatohnya 😅"
Y***a,"Barangnya sih pas diterima dalam keadaan oke. Hanya ada masalah, pas dicoba jahitannya langsung ada yg rusak. Pengiriman cepat, packing rapi. (Gambar adalah setelah dicob... "
