nama,komentar
E***a,kelebihan uang kt'a Mao d refund taunyapTdk
Sarwedi,recommended lah dengan harga segitu
S***t,Dapet yg Rijekan
Dedi,tipis nyesel beli
Cahya,stok ny jrng di update
Andri,Pesanan warna hitam size L yg datang putih size M
n***n,lama kirimny
A***n,"ada 2 kaos yg cacat, bolong dan kegunting. ini adalah orderke-2, saya trust 100% dan gk sempat saya cek recek lagi, pas nyablon baru ketahuan ada 2 yg 'cacat'.... "
David,ukuran nya turun 1 step baju kekecilan
R***D,"Stok seharusnya dicantumkan supaya tidak berbelit2, dikirim dulu baru dicancel kemudian refund..aneh"
Albertus,Paket tiba lengan panjangnya yang kiri miring
Yan,
eric,
