nama,komentar
Kresna,Pembelian yang kesekian kali 👍
Josephine,"Lingkar leher kecil, jd agak kecekik"
Radhimas,"Ukurannya agak kekecilan. Bahannya nyaman, nggak bikin gerah. Jahitan rapi."
Mac,Pesanan tiba sesuai jadwal dan packing rapi. Terimakasih Seller dan Wahana.
arief,"Kualitas oke, tapi warna beda dgn contoh"
A***n,okee mantapp
Kresna,Material sip
A***g,oke
P***s,Ok
Michael,"untuk kesekian kalinya beli disini, gak mengecewakan"
M***d,"pengiriman lama biasany 3-4 hari ini 6 hari, ukuranny jg beda ada yg sedikit lebih kecil di warna army dan coklat tua ini pembelian yg ke2. tpi utk bahannya bagus"
Fitriah,udah kedua kalinya beli dsini...tp sayang 1 pcz aq minta wrn merah solid..dikasih abu misty..klo bahan adeeem bgt.
Achmad,kaga pernah kecewa belanja di net....
Heri,"Paket barang selalu Ok. cuma sangat di sayangkan untuk kemasan paket udah di bongkar, sobek dan di lakban lagi seadanya sama entah ""pihak ekspedisi"". bentuk nya j... "
hardianto,"makasih bang,, semoga lancar terus"
User,Quality Controlnya kurang.. bahan lumayan bagus tapi lubang lehernya miring.
Azwar,"BUAT TOKONYA MASUKAN DIKIT, JANGAN PAKE TUH KURIR ANTER AJA, NYUSAHIN!!! KURIR ANTER AJA NYUSAHIN ORANG!!! CAPEK NUNGGU SEHINGGA HARUS AMBIL SENDIRI PAKET NYA, PENGIRIMA... "
hardianto,terimakasih barang mantap dan nyaman
kiboy,"lengannya ngepres sebelah minn satu baju doang sihh, selebihnya bagus👍🏻"
V***s,Kurir pengirimannya lama.
M***o,mantab jiwa bagus brng nya nyaman
i***i,barang sesuai dengan keinginan dan pengiriman cepat
Wahyudi,"Kualitas lumayan, udah mesen ukuran L. tp Ukuran L nya g sesuai prediksi, lebih kecil dr ukuran L baju sy lebih k M tepatnya, karena memang g ngukur berdasarkn Size Chart... "
Shofyan,"barang bagus, tapi Kurir males""an nganter"
Hendrawan,bahannya beda sama yang dulu ya.. jahitanya bagus..masih ok
ashwidya,barang sdh smp dan diterima dlm kondisi baik... terimakasih
Sandi,dah nyampe tipis bener. well sesuai harga lah
BEBU,Produk bagus
Ahmad,Nyaman dipakai.
A***g,"Nggk fatal sih, tapi coba lebih teliti lagi kedepn nya :)"
K***f,"bahannya bener 30s tapi sayang ada bagian yang bolong, semoga kedepannya QC nya lebih diperhatiin lagi."
M***k,Nyaman dipakai.
S***n,"bahan seperti biasa... ada yg beda bahan, wajarlah pesan 40 kaos.. tapi ukuran sedikit lebih kecil dari size di banderol nya."
F***r,"pertengahan tahun kemarin beli kaos disini bagus, tebel, kok sekarang jadi tipis banget gini, hampir nerawang, kayak bukan combed 30s, kalo emang bahan mahal gapapa naiki... "
Dyah,"Bahan katun adem, bagus banget, warna sesuai pesanan, beli 5 ga nyesel, harga murah!"
Lukman,"Untuk bahannya agak tipis ya kak, untuk respon dan pelayanan sudah ok. terima kasih atas pelayanan dan barangnya."
A***h,Kualitas produk bagus. Warnanya mantap. Jahitannya rapi. Bahannya adem. Nyaman dipakai. Tidak menerawang. Bahan menyerap keringat.
S***e,Biasa aja sih
D***i,Worth
Ryan,skrng tipis bahannya kak
Setiyawan,"Bajunya bagus dan pegawainya ramah, cocok sama kantong mahasiswa. Barang nya original, sesuai pesanan, dan harga nya murah kawan, mantap buat tokonya 🙏🏻"
S***o,"ukr pas, bahan oke. tp pesan warna hijau navy (7) , dikirim biru navy (6)"
Ben,entah ke tiga atau ke empat kalinya beli disini .... semua mantap
Eliezer,Ukuran sesuai Kualitas produk sesuai harga
K***i,"Barang diterima sesuai pesanan dan dalam kondisi baik. Untuk warna grey, bahannya beda dari 2 lainnya."
Raihana,sebenernya bagus tapi salah kirim warna. gapapa sih
K***s,"puas tapi produk ada cacatnya sedikit, dari 3 baju 2 ada cacatnya"
Ibnu,"harga sesuai kualitas. meskipun ada.minus di orderan saya, overall saya puas dengan produk ini. semoga makin sukses kedepan"
Alamsyah,Nyaman dipakai.
R***a,Nyaman dipakai. Ukuran sesuai. Warnanya mantap. Bahannya lembut.
