nama,komentar
Rifki,mantap sekali
Rifki,mantaps.
u***i,"Udah langganan beli kaos di sini,baik utk seragaman atau buat pakai pribadi.bahan bagus mantap pengiriman kilat.the best pokoknya🙏"
Z***n,"modelnya keren, pas dibadan, nyaman dipake"
H***o,"Bahannya adem, pas. Harga terjangkau. Beli warna hitam tp ternyata abis, sudah dikonfirmasi akhirnya jadi navy. Nanti akan repeat order, semoga warna hitam ukuran XL nya... "
Dwi,bahan sesuai...adem dan enak dipake
Siladhamo,bagus bgt kaosnya bener2 katun adem bukan yg kresek2. Recomended bgt
UNI,"Bahannya adem, warna ngga luntur. Catatan klo dicuci ukuran jdi lebih kecil, jadi mending upscale ukuran aja pas beli. Worth it"
N***i,bagus
I***n,good
Kamal,"mantap, sesuai harga"
Sandika,barang sesuai gambar dan deskripsi.. terimakasih buat seller dan abang kurir AnterAja
otto,"Kualitas OK, sesuai deskripsi, pelayanan OK"
Haris,Bahan nya bagus..sesuai dengan pesanan..makasih ya..
Durga,"top, selalu beli dari PT. Net harga dan kualitas worth 👍👍"
H***y,Mantap keren
E***y,Produk Bagus
Tama,"Produk berkualitas, pengiriman extra cepat, packing aman.... kaosnya nyaman, lembut, jahitan rapi. Sukses selalu, kakak."
Indri,selalu sesuai.. bahan adeem makasiih
Rara,"sesuai pesanan, bahan nyaman, jahitan rapi, admin ramah waktu ditanya stok dan warna, sayang kok 1 warna yang saya pengen pas habis 😅 👍"
E***a,okeh
Kartini,sipp
Kartini,Sesuai yang di harapkan
R***i,bagus...gak panas...adem dipake...tingkatkan teruz kualitasnya kak...mksh...👍
Shindu,mantap sesuai pesanan
adam,lapak langganan cukup bintang yg berbicara daaah 😉👍
R***a,"sip,sesuai pesanan👍🏻"
A***l,balabaalaa bagus
n***s,mantap lah pokoknya no kaleng kaleng
Ilham,"bahan cocombed, nyaman, model sederhana, jahitan rantai, ukuran sesuai, sip dan bagus selama yang dipesan sesuai dengan keinginan konsumen"
M***d,"Selalu Keren, as usual 👍"
Lusi,mantaaaaaap
muhyi,Penjual dan kurir terbaik
PT,"Bagoooooos enak kaosnya nyaman adem,"
Lidya,"barang diterima sesuai dengan pesanan, sukses selalu"
nuki,nice
Dwi,"pembelian ke 2, bahan oke"
Jahe,"Bahannya bagus, jahitan rapi dan saya tau pasti diperiksa dengan baik sama tim sellernya saya bakalan beli lagi disini!!!! Mantaaab"
David,"quality slalu ok, pembelian kesekian kalinya"
T***y,pembelian ketiga dan memuaskan good
h***u,"pengen nya yang steel blue , tapi untung ada opsi kedua nya"
Fery,sesuai deskripsi
PT,Sesuai orderan
E***y,bagus👍
Miy,selalu menjadi pilihan
Dicky,"pembelian kedua dan memuaskan, sip"
h***u,"Udah 2x beli di NET PERSADA, memang udah paling cocok lah. Harganya terjangkau, kualitas bahannya sangat baik, nyaman dipakai, jahitan rapi. Proses nya cepat. 5/5"
Radhimas,"Mantaf, Next beli lagi"
Billy,sesuai
Prasetyo,
