nama,komentar
Tri,kurirnya lelet.....
Asep,mantap sesuai pesanan semoga awet
Abdullah,"maaf cuma sy kasi 4* soalnya warna tdk sesuai minta hijau dateng biru, sisanya recommend, pengiriman cepat, respon cepat, original."
P***a,barang sampai sesuai dengan apa yg dipesan..
E***s,Produk sesuai Deskripsi.
Miranti,kok ada nama orang di phone book hp nya
Tedy,gak dapat bns headset..mengecewakan..
D***l,pengiriman lambat ....
fie,gan kok gak dpt softcase nya ya
N***a,"sayang aja barang repack, segel lebih besar daripada segel ori"
HAFIDZ,Cepet banget semoga awet
sahirudin,pengiriman nya cepat banget...
A***d,minta abu dikirim biru
M***n,ok
Bahar,"proses cepat.. pengiriman lancar.. packing standart.. barang OK,NO-MINUS.. terimakasih.."
Mundy,"Respon cepat, barang ori dan masih segel👍🏻"
B***r,produk ok banget hanya kurir ny yg lola
A***c,ok
H***i,"Barang sesuai yg dipesan, cuma untuk charging masih pake mikro usbnya lama, bukan type c seperti redmi 8. Sayangnya IMEI belum terdaftar di situs kemenperin.co.id, sama t... "
HAFIDZ,Cepet banget semoga awet
sahirudin,pengiriman nya cepat banget...
A***d,minta abu dikirim biru
M***n,ok
Bahar,"proses cepat.. pengiriman lancar.. packing standart.. barang OK,NO-MINUS.. terimakasih.."
Mundy,"Respon cepat, barang ori dan masih segel👍🏻"
B***r,produk ok banget hanya kurir ny yg lola
A***c,ok
H***i,"Barang sesuai yg dipesan, cuma untuk charging masih pake mikro usbnya lama, bukan type c seperti redmi 8. Sayangnya IMEI belum terdaftar di situs kemenperin.co.id, sama t... "
HAFIDZ,Cepet banget semoga awet
sahirudin,pengiriman nya cepat banget...
A***d,minta abu dikirim biru
M***n,ok
Bahar,"proses cepat.. pengiriman lancar.. packing standart.. barang OK,NO-MINUS.. terimakasih.."
Mundy,"Respon cepat, barang ori dan masih segel👍🏻"
B***r,produk ok banget hanya kurir ny yg lola
A***c,ok
H***i,"Barang sesuai yg dipesan, cuma untuk charging masih pake mikro usbnya lama, bukan type c seperti redmi 8. Sayangnya IMEI belum terdaftar di situs kemenperin.co.id, sama t... "
