nama,komentar
Andika,3x mesan yg warna hitam logo lamat Motz.. pas cht awal barang di bilang ready.. setelah pembayaran di bilang stok kosong via cht wa.. 3x yg mengecewakan 🙏🏻
G***r,"Kualitas pengerjaan buruk, masih banyak bekas coretan kapur untuk penanda jahitan yang tidak dibersihkan, ukuran aslinya jauh lebih kecil dibanding yang dicantumkan di de... "
Agus,"Kualitas kemeja sebenarnya bagus tapi ukuran tidak sesuai dengan deskripsi. Pesan XL berharap lebar 56cm ternyata yang dikirim benar XL tapi lebarnya hanya 54cm. Artinya... "
Andreas,"yang dikirim salah motif, harusnya digambar logo bintang tapi yang dateng kok logo merk ckckckc agak kecewa saya"
A***i,"bahannya kasar,panas"
Siswanto,"sebenarnya simpel aja, barang yg dkrim berbeda dgn yg difoto & g ada keterangan model akan berbeda dgn foto, klo dr awal ada info beda cerita..."
Michael,ukuran apa ini besar bangettt
Santo,"pengiriman cepat, kualitas sangat kurang, jadi sangat kecewa...."
Ikhwan,order L dikirim M
Epri,bahan ketipisan sampai menerawang..krg sebanding dgn harga nya.
Y***h,"Saya kira saya yang udah buta warna ternyata ada yang senasib, pesan warna abu yang di kirim warna hijau tua, padahal di daftar gambar warna hijau tua tidak ada."
Riki,Bahan y tipis
Haryanto,
E***o,
Memet,
