nama,komentar
Andri,WARNA YANG DI KIRIM.TIDAK SESUAI
Dobby,"prosesnya lama. jahitannya asal asalan panjang sebelah, terpaksa harus bawa ke tukang permak."
T***n,"Pesen 2 ukuran L, tapi yang putih lebih kecil …., kalau komplain ribet harus mbalikin dulu …"
bayu,warna cream yang datang beda warna nya dengan yang di foto
MASTURO,size nya kekecilan semua..
Muliadi,ukuran tidak sesuai katanya XXL lebar 59 kenyatann cuma 56
suparmin,Minta ukuran L dtangnya M Blok
Hery,warna tidak sesuai dengan di gambar
Isep,Barang sampe lokasi tidak sama dengan yang di pesan . pesan baju apa . yang sampai baju apa . Sangat kecewa dengan toko ini
H***n,"bahanya tipis banget,ku kira bahanya bagus😔"
Lisa,bahan tipis...sama kaya kemeja yang 35rb an
rixas,pesen xxl yg dtg xl
Adi,tidak sesuai dengan gambar yang ditawarkan
Yullys,"diminta XXL, yg datang XL, asli kecewa,"
muhammad,barang yang di jual barang rusak.. jahitan ujung lengan tidak sejajar
rudi,"warna kemeja yg di pesan tiba2 di beritahukan stoknya sudah habis, selanjutnya saya di suruh memilh warna kemeja lain. pengiriman terlambatnya aja 4 hari baru sampai"
Jannes,kain tipis mengecewakan...sekali..!
D***y,dengan seharga segini sehurusnya sudah dapat barang yg bagus...
Rianto,ukuran lengannya terlalu gede padahal ini size M. jd saya pake terlihat kurus banget padahal aku gk kurus banget sebagai pembanding aku sertakan foto gk pake baju
Fika,proses lama
Yuga,lebar pundak tidak serasi dgn lebar baju.
Ashiqin,Ukuran M atasnya sih pas.. tpi ke bawahnya tambah lebar dan panjang.. bahan tipis bgt..
PURNOMO,ukuran lengannya terlalu gede padahal ini size M. jd saya pake terlihat kurus banget padahal aku gk kurus banget sebagai pembanding aku sertakan foto gk pake baju
Hariyanta,proses lama
Yuga,lebar pundak tidak serasi dgn lebar baju.
Ashiqin,Ukuran M atasnya sih pas.. tpi ke bawahnya tambah lebar dan panjang.. bahan tipis bgt..
PURNOMO,
Hariyanta,
