nama,komentar
Banu,"yang warna putih agak transparan, selebihnya oke"
yudi,"beli 2 item, abu dan putih tp dr 2 itu bahan nya beda2. yg putih jelek betul bahannya kaya spanduk partai"
Iink,"cepet sampai.. rapih, tp bahan kurang lembut. its ok"
Z***i,ukuran XL nya.... kecil y
Mardian,"XXL masih sempit ,bukan regular SPT nya ,,regular fit kayak nya ,ya sudah lah"
Dewangga,"alhamdulillah barang sampai dengan selamat, barangnya bagus sesuai di poto dan harganya"
Hendrik,lumayan lah
W***i,"ukuran dan model pas, tapi bahannya tidak sesuai harapan, tipis dan nerawang"
Rendra,beda sama yang di foto
Devi,"Barang yg di kirimkan tidak sesuai dengan yg di tampilkan. Walaupun merek tetap sama tp model berbeda. Penjual tidak teliti dalam mengirimkan barang. walaupun penjual ber... "
Bahri,bagus mantap cuma sayang pengirimanx lama
ahmad,biasa aj Baju ny
R***l,okelah
Wawank,mantaaaap
A***p,aga tipis
s***o,detail seperri ttd/logo d dada kiri tidak sama...padahal itu detail yg mungkin unik kalo d pakai
usamah,"kualitas standar, tdk jelek tpi tidak bagus2 amat"
Yogi,Modelnya keren 😎. Warnanya mantap.
Bagus,"Kualitas produk bagus. Nyaman dipakai. Agak kecewa dengan jahitan kancing bajunya terkesan sembarangan, tapi its oke"
layang,Modelnya keren 😎.
I,biasa aja
karno,sip barang sudah landing... alhamdulillah sesuai pesanan
M***i,"bagusss bahannya gak kaku, kaitan rapi. pas dibadan. cuma warna gak begtu navy strong ya. tapi okelah nanti mau beli warna lain"
Tatang,"kemejanya bagus, jahitan rapi cuma sayang tidak ada sakunya"
Muhamad,Mantap👍👍
H***i,barang sdh smpai dgn selamat..beljm sempat dicoba sortinya ukurannya lebih lega..
Nur,bahan kurang adem tapi jahitan bagus. yah so so lah...
ncep,kualitas okeh
H***o,barang telah sesuai antara kualitas & harga
Robi,dikirim L. ke gedean kak
A***o,ok sesuai tp pengiriman bisa dipercepat lagi harusnya
Nuril,manta0
Roup,"barang sesuai dengan harga😊 tpi ukurannya,gde juga ya. pake M. malah kebesaran"
Yudha,Bagus
F***i,"Bagus, pengiriman cpt..thanks"
Y***y,"bagus si, cuma tipis"
suwandi,alhamdulillah sesuai pesanan dan pengiriman cepat
M***h,"rapih, bahannya bagus & kurirnya baik"
S***r,bagus
R***t,"mantab barang sesuai, pengiriman tepat waktu. trimakasih"
Oemar,"bahannya rada tipis, lumayan lah"
Reza,manarik...bagus...
f***o,"jahitan ok, tapi bahan agak kasar"
Akhmad,ok
Imron,"barangnya cocok, pengirimannya juga lumayan cepat"
Wira,"pengiriman cepat, bahan tebal dan harga terjangkau"
Ainun,suka bangeeettttttttt
Divia,lumayan
Arsyah,Beda sama yang di gambar..
Rully,
