nama,komentar
Rido,stoknya ga update.. dikonfirmasi sama admin nya akhirnya tuker navy.. pas dateng beda sendiri ternyata bordirannya..
H***i,"Bahan kasar, sepertinya bakalan gerah"
A***l,bahan cukup nyaman namun ukuran tidak sesuai dgn di deskripsi
Khairul,ternyata beda warna beda jenis kain
Dewi,"maaf seller baru bisa kasih bintang 3 dulu, kata suami di pake agak panas."
A***I,"Bahan tipis,"
andre,barang cepat sampai respon baik tapi baju yang dipesan xxl tapi rasa xl .
yusuf,pesan ukuran L. tapi yg dikirim ukuran M jadi agak ngepress di badan
M***d,model berbeda dengan gambar & pengiriman agak lama..
M***a,Pesan XL yg dikirim L...yaudah gak kepake...
F***i,Bahan bajunya kurang memuaskan
y***a,bahanya di luar expetasi🙈🙈
Fakih,Kualitas produk bagus.
M,logonya beda dgn yg di foto produk.
D***y,Kualitas produk bagus.
Nawi,bahan ok
Henki,warna navi barang nya kurang sesuai dengan tampilan di display topes
rifqi,Kualitas produk kurang bagus. panjang lengan beda sebelah.
Nidarit,saya kira slimfit beneran eh malah melar utk kain lumayan bagus aja jahitan rapi
Rika,ukuran M nya besar
Wahyu,"menurut saya barangnya keren dan bagus, cm kekurangannya agak sedikit panas dan kurang adem..."
j***o,"kemeja dimana ada kantong, jd kemeja ini seperti halnya kaos"
Yuga,sayang ada noda hitam yang g bisa hilang
Rivalino,kalau komunikasi dengan pelanggan sebaiknya maksimal. seharusnya bisa dengan whatsapp juga
Ferry,panas bahannya
Yati,g sesuai harga..pengiriman lama biasa 3hari ini 1mggu baru sampe lambat karena kurir yg malas barangkali...
T***t,"Barang sudah sampe, cuma kotor dan bau gak tau kenapa , agak sedikit kecewa"
RIZKY,oke mantap
D***i,"barang udah nyampe, proses pelayanannya cepat, tapi sayangnya saya minta ukuran M malah dikirim ukuran L 😔"
Eli,"barang sih ok, sesuai pic, note: pengirimanya lambat.. tlg diperhatikan. tq"
Lasron,bagus bajunya...exiting
husni,Tlg lengannya diperbaikin ukuran terlalu besar
Erick,Bahan tipis..
Desi,Pesan abu2 datang hijau tua
Jujun,"Untuk kualitas produk bagus .. hanya saja mohon untuk dicek kembali barang sebelum dikirim kak .. karena udah mah saya beli warna putih .. terus kemeja nyampenya agak kot... "
husni,Lumayan lah
Indriani,Lumayan tapi ga ada kantongnya
T***l,"Bajunya ukuran Xl tapi kecil, agak kecewa 😥"
Putra,warna baju tidak sesuai dengan yang di foto
Lasron,bagus bajunya...exiting
husni,Tlg lengannya diperbaikin ukuran terlalu besar
Erick,Bahan tipis..
Desi,Pesan abu2 datang hijau tua
Jujun,"Untuk kualitas produk bagus .. hanya saja mohon untuk dicek kembali barang sebelum dikirim kak .. karena udah mah saya beli warna putih .. terus kemeja nyampenya agak kot... "
husni,Lumayan lah
Indriani,Lumayan tapi ga ada kantongnya
T***l,"Bajunya ukuran Xl tapi kecil, agak kecewa 😥"
Putra,warna baju tidak sesuai dengan yang di foto
