nama,komentar
Donnie,di gambar dan judul dan deskripsi hitam tapi yang datang coklat
A***f,motif nya gak sejajar
Melfa,"kemejanya kurang bagus,kebesaran,penjualnya tidak ramah"
Hein,"ukuran nya kecil untuk ukuran baju🙏🙏 normal biasa pake L, seperti ukuran S dan ga bisa dituker"
Muhammad,orang salah motif mau ajukan pembelian ulang mlah ditolak
Rudi,Barang tidak sampai ke customer
n***a,tidak sesuai dengan foto
SFX,"PROSES PENGIRIMAN LAMBAT, TOKO TIDAK RESPONSIF."
S***h,"KECEWA. HATI-HATI BELANJA DISINI Ditulis stock masih ada 900 pcs, saya order 1 pcs katanya stock kosong dan dipaksa ganti model lain yg saya sama sekali tidak suka"
Roy,Beda sama di foto
a***i,"pesen warna apa dateng warna apa, buat pdagang asal kirim barang cocoknya Bintang 1.. klw BB 90kg kecil ukuran XL gak real 54 dadanya..."
F***e,"pake grab kirim hari selanjutnya bilang bisa, tapi dikirim 2 hari kemudian"
I***N,warna nggak sesuai pesenan. respon lambat.... pelanyanan kurang baik
Hermansyah,pelayanan nya sangat luar biasa baru kali ini nanya pesanan mau di kirim kapan di amuk sama seler
r***o,jangan belanja disini penipuan beli dua yang dateng cuma satu bahkan tidak ada ganti barang
Ahmad,pelayanan toko sangat jelek
m***e,"motif kemeja tidak sesuai dengan yg di pesan. saya ga mau ribet untuk retur barang, cukup tau saja kalau tokonya tidak amanah."
L***i,pesanan saya tidak sesuai deskripsi
Y***a,KECEWA..!!!
Y***i,"Ga sesuai deskripsi. dibagian lengan sempit banget, slimfit dan ternyata ini bukan 52cm lebar badannya, tapi 47cm!"
N***n,Ukuran trlalu kecil beda sama ukuran biasanya dan gabisa return
Dian,
M***d,
Rudi,
