nama,komentar
Tri,jaitan kancing kurang kuat. gampang copot
Z,"black diamond warna pink nya lebih menonjol dan ada warna broken white kelihatannya jadi smkn butek , jelek"
Moh,barang bagus cuma sampai nya moloorrrr
n***l,"kurir terlalu lama, kurangnya koordinasi penjual sama jasa pengiriman. dari segi barang belum tau kualitasnya, di review dulu 3 bulan kalau tidak ada kendala apapun bisa... "
Deva,respon penjual kurang tegas. untuk barang baik.
s***a,"Barang sih bagus, cuma estimasi gak sesuai dengan yg tertera di aplikasi."
B***a,👊
zamzami,terimakasih. barang nya sudah di terima.
M***d,warna tidak sesuai deskripsi
Syahril,gak ada kantong depan
yanto,pengirimanya lama
D***i,Proses pesanan cepat.
Nurul,Pas ukurannya.
A***y,Batiknya keren.
n***r,"bagus sih, cuman saya kira bahannya kain batik pada umumnya sekalinya beda"
A***s,Pas ukurannya. Motif batiknya ciamik.
Tri,Tidak sesuai gambar
abdurrohman,kancingnya terlalu kecil
Rahmat,barang bagus cepat namun warga agak sedikit kurang gelap dari aslinya
F***s,kurang puas
Ari,"Kelebihan : Bahan kain bagus bisa melar Kekurangan : ukuran XL lengan terlalu sempit kayak M, padahal tangan saya gak besar2 amat, trus pengemasan cuma di masukin plastik... "
Abdul,"ngirimnya lama, padahal udah ga pake gratis ongkir!"
mytha,"bajunya bagus, hanya saja pengirimannya lama perlu waktu 2 hari untuk di proses pengiriman, plus 5-6 hari pengiriman dari kurirnya total estimasi 8 hari untuk nyampe di t... "
Ahmad,respon lambat
Z***l,"Bahan panas, krg nyaman, utk yg badannya kurus ga cocok, pengiriman juga tidak segera"
Suli,katanya dasarnya dingin ...tak tauh nya panas...
Saccaputta,"bahan bagus penjualnya baik....cuma ini sih bener2 kecil😔 cuma bisa di pakai anak saya yg berat 45kg..bukan buat pphnya..selalu gini jika beli baju di online...pdhal bua... "
Samuri,kualitas lumayan sih tapi banyak benang yg pada ntlolor jadi g bintang 5 deh
Ajat,Untuk ukuran Lingkar dada dan Lingkar pundak naikin 2cm dr yg skrng(sekedar saran)
A***l,tidak sesuai corak dan warna saat memesan
o***m,lubang kancingnya tidak rapi
A***d,"brang..lmyan lh sesuai hrga,tpi gk tau bhn apa,packing..rapih mskpn sdrhna..respon lmyan."
Filu,ya lumayan lah....
D***i,Tidak sesuai pesanan walau barang nya bagus
A***I,"proses nya lamaaa ,. barang sih ok"
R***y,"kualitas barang sudah bagus, tapi pengiriman agak lama, order rabu pagi, kamis siang baru di kirim."
Sindu,Batiknya ternyata strait. Warnanya rada pudar but oke lah dipake casual Thanks bossku
Muhferdiansyah,"Barang cacat, ada yang robek , bahan nya sih bagus , lain kali cek dulu min sebelum kirim ,kalo udh gini kan customer kecewa ga percaya lagi sama toko ini. Makasih"
Nury,dari pihak penjual sdh bagus cuman untuk dari jasa pengirimannya sangat lambat
A***y,"Brang udh smpe, pngiriman cpet resfon baik, caman kegedean doang haha kirain uk L kecil, tpi gpp bisa d jait lg"
Andry,Ga cocok dgn gambar........
Agung,"Pesanan sesuai yg di ingin kan,,mantullll"
Fachrul,"Pengiriman cepat, warna gak sesuai... Trus ukuran l tapi kekecilan"
Jay,
