nama,komentar
Syaiful,"Saya gak ada masalah sama barang pesanan. Karena di pengajuan complaint, tidak ada pilihan waktu, jadi saya ke menu Ini. Saya mau complaint bukan di barang. Tetapi lebih... "
Shopper,"Barang Ok, nmun btuh pengajuan komplain alias datang nya 9 hari"
L***d,lengan nya sangat sempit. ukuran tangan anak kecil.
r***y,Kualitas Barang ⭐️⭐️⭐️⭐️ Kualitas Pelayan & Komunikasi ⭐️⭐️
A***a,ukuran L sarasa ukuran S
Abdul,bahannya melar ......😭
A***s,jahitan kurang rapi
A***i,ukuran lebih jelas ya
w***e,"ukuran beda dari deskripsi , sangat sempit sekali walaupun sudah XL"
iwawan,"Kemejanya sih gak ngecewain.cuma kemarin ada kesalah fahaman di pengirimanya.besok besok lg kalo order dilihat dulu invoice nya pakai kurir apa,heheheh.🤗"
S***d,Lain kali kalau barang kosong dibilang dari awal jangan uda di tf uangnya baru dibilang
Mando,
Chris,
I***m,
M,
