nama,komentar
Harry,kadang kamera tiba-tiba error
Soni,"Barang bagus dan berfungsi baik, ttp respon admin utk mengirim barangnya lambat."
D,pengirimanya lama
S***n,"pengirimannya tiba di hari terakhir estimasi, sempat khawatir, namun akhirnya datang juga"
AWu,"Tidak bisa pakai TF card , kalo masuk TF card gak bisa operasi , Hang display. sdh coba ganti 3 TF card yg berbeda."
F***a,Pengiriman lama. Hampir 1 minggu baru sampai
Nandang,Pengiriman barang memakai jasa pengiriman yg lambat. Jakarta - Bandung 4 hr
H***i,Packing kurang aman
Daniarti,"produknya ori, tp speaker nya bermasalah nih. bs retur ga ya"
Geary,hp bagus.. yg kurang cuma pelayanan dr admin nya. seperti chat sma robot. admin jg slow respon banget. smoga bisa ditingkatkan
