nama,komentar
s***i,"parah pesan tgl:14-4-2023 abis lebaran baru dikirim, diperbaiki lagi"
Ega,"Barang kurang 1, untung bisa balik duit nya, buat pelajaran aja jd bintang 1"
Ferry,beli 3 yang datang cuman 1 dan tidak sesuai pesanan
MOHAMAD,Pengiriman lama sekali dan seller nya tidak ramah
Muhammad,"respon penjual sangat lama, pengiriman juga lama. saya tidak mengerti kenapa baru sedemikian lama baru dikirim. ditambah sistem dari toped yg memberikan tambahan waktu la... "
Wahyu,"proses lama, giliran minta di cancel ganti warna ga bisa"
kockakocka,brg jelek
Indi,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya"
M***h,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... "
G***g,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar"
Hasby,robek jahitan atasnya
M***a,ejek
Julay,saya tidak menerima paket pesanan saya
Kenslindo,"berbulu, gabisa di refund.."
Deni,"proses lama, giliran minta di cancel ganti warna ga bisa"
o***a,brg jelek
Sandi,"minta nya di note size XL, tapi yg datang S, emang yg terklik.size S, tapikan udah ada note, lain kali biasain liat note ya"
F***i,"pesan jumat, konfirmasi stok habis baru senin, malah tetap dikirim, tp satu ukuran dibawahnya, ya mana muat. udah gt malah suruh nunggu komplen toped. pelayanan macam apa... "
M***d,"Kepanjangan, keliatan kayak pakai jubah, jaritan lengan juga di luar"
Muhammad,robek jahitan atasnya
Hasby,ejek
M***a,saya tidak menerima paket pesanan saya
Julay,"berbulu, gabisa di refund.."
Kenslindo,Robek gini
Deni,"pesen black malah dikirim navy, padahal udah diingetin dah dibilang kalo gada gausah dikirim uang dibalikin aja ehh masih aja dikirim. tokonya ngga amanah"
o***a,Kecewa..
Sandi,Pembelian pertama salah size d retur d krm brg size yg sm.bilang admin mau hubungi sampai skg tdk ad yg hubngin.pertama x beli dan terakhir beli d sini….
F***i,kegedean
M***d,"Maaf di revisi, kecewa sama barangnya. udah beli kedua kali, pertama M bajunya mengecil jadi kaya size S, akhirnya ikutin saran di deskripsi beli lg 1 tingkat size L, eh... "
Muhammad,B
Raja,"kecewaa barang riject, lengan panjang sebelah, sebelah kanan baju bolong dikit"
A***i,"bagian kerah sobek,"
F***n,jahitannya kacau banget
Naufal,"bahan kurang bagus, begitu di cuci bahan langsung mengecil (mengkerut)"
niko,prusahaan sekelas erigo menjual produk yg gak layak jual. sangat kecewa setelah sekian lama jdi langganan. masak kancing copot dan jahitan gak rapih di kirim ke pembeli.
C***o,
O***a,
Paulus,
R***n,
Y***n,
Wildan,
simada,
f***a,
danang,
DONNY,
