nama,komentar
Zainal,bagus
Muhammadbintangn,Slow bgt resp nya
YN,kainya lemes jatuh. sesuai dengan harga
Renaldo,Pengiriman lama
Bram,ukuran pas sih longgar. tapi pendek banget jadi keliatan jangkis
darajat,"kualitasnya bagus, pengiriman lambat"
Fandi,"bahan bagus, tp hampir gak jd pake u acara, seller respondnya ketika ada masalah pengiriman kurang friendly"
Muhamad,"Pengiriman lama, barang kualitas bagus, stylish"
Andi,Keren
muhamad,"bahannya bagus, tapi jahitannya kurang rapih pada bagian lengan sebelah kanan tidak simetris dengan yg kiri panjang sebelah. pengiriman lemooott"
R***a,"untuk barang oke"" saja dan aman kualitas oke untuk pengirimanya lumayan lama"
cheka,pengiriman lama
Mahatma,"bahannya keren, enak banget dipake nyaman sama badan. Pakai ukuran L pun sangat pas. namun dari sisi pengiriman masih banyak haeus dibenahi, hampir 3 hari barang ketahan... "
kukuh,bahan adem
Ferdinando,"Kecewa sama kurirnya, barang saya tidak sampai"""
ikasurya,ngirimnya lamaaaaaaa
F***i,bahannya adem tapi gampang kusut
Rick,Kwalitasnya lebih bagus. Yg pengirimanya yg telat. Prosesnya pelan pelan
A***l,mantaf sesuai bahan dingin lumayan tebal
Y***o,Bagus
A***s,"barangnya keren, tp nyampenya lebih lama dari waktu estimasi"
Del,Cukup puas. Quality control harus lebih diperhatikan. Masih banyak benang sisa jahitan berlebihan di setiap sisi. Bikin jahitan kurang rapih. Tapi bahan sudah bagus.
Dicky,"tarlalu besar keknya, salah size"
Nilna,pengemasan lama poll beli tgl 9 dikirim tgl 15
Muh,panjang ny beda sedikit sama yg warna laen
Renald,"Bahannya sih enak cuma ya Jahitannya gk rapih ,keliatan soalnya …."
F***h,"Kualitas oke, barang sesuai pesanan, cuma packing kurang, packing sobek seperti dibuka oleh pihak jasa kirim Sicepat. Mohon diperbaiki agar kejadian tidak terulang kembal... "
A***i,"Barangnya bagus dan baik, hanya saja waktu pengiriman yang ditunda membuat lama"
daydreamer,pengiriman nya lama
Ahmad,"barang bagus, pengiriman lama sekali, keterangan gagal pick up barang belum siap terus."
shandyutama,"Pengirimanya gagal terus, tapi akhirnya sampai."
w***n,bahanya ternyata so so lah
S***n,Jahitannya rapi Nyaman dipakai
R***o,jahatahanbagahsjsjs susisaoqkjsysybjwus. sususu
Sumando,oke
A***R,asa kegedean
a***d,Bahannya ga adem2 bgt ternyata
Adhi,"bintang 4 dulu saya kasi karena kurang lengkap nggak ada sakunya, fokus saya ke bahan rayon jadi nggak perhatikan sakunya setelah dibuka ee... ternyata nggak ada sakunya,... "
K***y,"tampak jauh perjalanan kemeja-kemeja ini.. agak lama proses dan kirim barangnya,, enak beli langsung di toko/bazarnya erigo daripada online,, lama 😅"
Idabagus,kebesaran
R***s,good
I***a,"Barang sesuai pesanan, hanya saya kurang suka untuk desain bagian lengan nya"
rizal,as I expected
J***l,"kalau soal kualitas Erigo jangan di tanya,, bagus.... Tapi Tolong Ditingkatkan lagi pengiriman nya sesuai pesanan ya..."
G***g,Bahannya gampang lecek.. Mungkin karena full catton
M***d,sobek gan.... gimana yak ini realitanya maap bang erigo yak klo org jadi mikir2 lg klo beli haha
NUGROHO,"Panjangnya beda kayak yang size s sebelumnya, saya beli yang navy pas, beli yang item lebih panjang padahal sama” size S"
M***d,"bahan bagus tidak tipis, adem nyaman, ukuran pas sayangnya pengiriman molor"
Adhima,
R***o,
