nama,komentar
nia,"pengiriman lama, pesanan tidak sesuai dgn apa yg dipesan. kecewa sama barang yg dtng tdk sesuai pdhal produk terkenal."
Dhika,"ini kok luntur banget ya, pas pencucian pertama kalinya, hand wash, udah diperas dan dibilas berkali2, pas dimasukin keranjang cucian ketumpuk baju lain, eh kena lunturan... "
Hangga,"Mohon maaf harus kasih bintang 2 bkn krn barangnya tp krn pelayanan dari tokonya. Barangnya delay kirim 2 hr statusnya gagal di pickup kurir dan ketika di chat balasan da... "
a***e,"kerah cepat rusak, benangnya ambrol."
H***o,ukuran baju tidak sesuai deskripsi
L***G,"jenis kain & warna berbeda dari pemesanan pertama, pesanan pertama (1) lebih bagus dr segi material + warna kain"
Yusuf,kurang bagus
Martinus,Produk 5/5 Respon Admin 4/5 Pengiriman 2/5
Nada,"sekelas official masih jauh dikatakan layak. tapi produknya ok, lumayan"
Veriel,"respon penjual lama, prosesnya lama, sudah make nextday tetep aja lama prosesnya, datang paket lewat dari estimasi hari di aplikasi. terimakasih atas pengalaman yg sudah... "
Rahadhika,"baju nya dalam kondisi lecek, ngeselin jadi harus di gosok dlu"
Wishnu,Jahitan nya gak rapih mohon di tingkatkan kualitas nya
idham,"saya pikir dengan blanja onlen di erigo secara online, barang yg datang dlm kondisi mulus, tp kenyataannya beda jauh dengan yg saya harapkan dan jujur sy kecewa. yg saya... "
M***i,
r***i,
