nama,komentar
INSANKMIL,"agak sedikit kecewa dengan erigo kali ini karena slow respon , dan tidak ada balasan dari admin nya , meskipun barang nya sampai namun telat"
T***i,"sudah mendarat tetapi sayangnya respon dalam memproses pesanan lama banget untuk sampai ke ekspedisi, mohon untuk ditingkatkan lagi."
eric,"Pesanan semua sesuai size M, tapi ada 1 baju yang ukuran nya kecil sendiri padahal label size nya sama sama M, tapi ukuran nya beda kecil sendiri. Overall udah oke banget... "
H***O,Beda dengan foto
Kristo,Size L serasa XL
Eka,responnya lama
Mukhamad,ukuran beda dibandingkan dengan size M varian warna lain
Fachri,pengiriman seminggu lama bgt
Ardiansyah,pengiriman cukup lama
Muhammad,"saya pesen 27 dengan pengiriman 1 hari sampai tapi baru sampainya tanggal 31 padahal barangnya mau di pake tuker kado karena telat saya jadi harus beli barang lain untuk... "
Myhammad,"Tebalnya pas, bahannya adem. Tapi ga pernah sama bentukannya tiap kali beli, ada sobek dikit bagian lengan"
Christianto,"Kualitas sesuai harga, luntur parah ternyata"
Pietermanting,Biar dikira diskon harga asliny tertera d tag 300 wkwk Tp yaudah lah support brand lokal judulny 🤣
Rama,Pengirimannya lama banget padahal deket lokasinya. jahitan kurang rapi. bahan adem enak nyaman.
E***a,U u u u u u u u u u u u u u u u u u u u uk k k k k k kk uuuuran
Bayu,over price
G***g,Real pict
S***a,bahan nya kurang oke
K***n,menunggu konfirmasi pesanan aja lama
J***h,Tinggi 182-82 pake size xl kepanjangan coy gile kaya baju ondel ondel
M***d,Sekarang pengiriman agak lama
V***a,terpaksa mengganti warna lain karena ternyata Stok nya abis
r***a,"seller ramah, pengiriman dan update nya sangat mengecewakan sepertinya krn bebas ongkir jd dilama² in lewat 1 dr hari pengiriman dan giliran penambahan wkt pengiriman cep... "
bung,Cukup baik
M***d,"Biasa saya pakai XL, Tapi ini XL nya besar banget. jadi harus di kecilkan lagi. ERIGO PELIT STICKER. ORDER 3 PCS BAJU TIDAK DAPAT STICKER."
Syaiful,Kualitas produk bagus.
Franky,"jahitannya kurang rapi, lecek dan kusam warnanya"
Boby,"Nyaman dipakai. tapi jaitannyaohon diperhatikak, ini bahannya lepas"
ahmad,cuting oke kualitas no
Axel,Kualitas produk bagus. Nyaman dipakai. Produk sesuai dengan foto.
Tri,Bahannya adem.
k***y,"Ngak sesuai ekspektasi, bajunya lebih kecewek cocoonyaaa …"
F***z,Produk bagus tapi pengirimannya lama . Tertunda terus
Tegar,"bahan bagus, gx tau ada masalah apa pengiriman nya lama bnget, sedikit kecewa sih nunggu lama,"
Sutriadi,cukup puas banget sama barangnya
Addien,"bagus Barangnya tpi gakepake ... Pas Klik L eh pas C/O jadi M mungkin karena Abis L nya... udah ajukan pengembalian Langsung Padahal... gabisa katanya udah diproses... ya... "
A***a,Size beda beda Bahan ciut setelah di cuci
K***l,jahitan kurang rapi
B***u,barang tdk sesuai pesanan
A***n,b ajasi bahannya
A***s,Jahitan tidak rapi adalah kelebihan erigo.
Lilis,Packing Berantakan.
Rado,lumayan
H***a,Barangnya kaya baju cewe yang M mesti ambil yang L
Muh,B jah
M***d,"jahitan bagian lengan nya banyak yang putus ( brodol2) , bahannya tipis tapi nyaman , admin ramah dan pengiriman cepet , ya itu tadi minusnya di jahitan bagian lengan rus... "
ANDI,agak kecewa sih..karena jahitan di lengan banyak yang lepas...saran aja mungkin QC nya lebih tingkatin..
Y***a,
M***d,
Iyal,
