,Unnamed: 0,komentar,rating,label
0,0,terkecoh banget sama variannya ternyata yang di klik 9a. bukan 9c. semoga awet deh ya hpnya. thx seller,4,positif
1,1,"Hp nya bagus. Tapi TG parah, sdh kotor di bagian lengketnya dari awal. Jd gak bisa dipake. Case nya kasar banget, mending case yg transparan aja sekalian. Padahal bayar l... ",4,positif
2,2,Pelayanan toko bagus. Hanya bagian pengiriman yg agak lambat,4,positif
3,3,Siip mantap,4,positif
4,4,"Produk original, pengiriman lumayan cepet. Belum di coba.. Tp looks ok nih.. Recommended seller.",4,positif
5,5,brg dh nyampe mulus g da cacat,4,positif
6,6,yang penting gercap barang aman k sipp,4,positif
7,7,pelyanan admin dan pengiriman sangat memuaskanBarangnya original 👍. Ada garansi resmi.,4,positif
8,8,"Pengiriman serta respon penjual cepat, tapi bonus nya tidak sesuai harapan; Order warna grey yg dikirim warna kemerahan stand holder nya malah jadi stand mic tempared gla... ",4,positif
9,9,Barangnya original 👍. Spesifikasi sesuai . Kelengkapan sesuai. Kemasan disegel. Warna sesuai pesanan. Berfungsi dengan baik. Barangnya mulus. Proses pesanan cepat. Packa... ,4,positif
10,10,Diterima dengan selamat meskipun ga dapet bonus apa2. Chat ga dibales2,4,positif
11,11,"HP sampai dgn cepat, dan kondisi baik... Terima kasih",4,positif
12,12,Ada garansi resmi. Barangnya original 👍. Kemasan disegel.,4,positif
13,13,Thanks yaaa fast respons🙏,4,positif
14,14,bgs tp bonusnya kurang bermanfaat,4,positif
15,15,"pengiriman cepat, seller responsif",4,positif
16,16,"barang semuanya ok, cuman bonus nya g dapat... dipostingan iklan nya katanya dapat aneka bonus tp g apalah yg penting HP nya sudah mendarat dgn selamat tks",4,positif
17,17,"Harusnya bisa bintang 5, tapi karena di sana ketulis ada bonus macem2 tp pas nyampe kaga ada 1 pun dapet apa2.",4,positif
18,18,pengiriman cepat barang sesuai,4,positif
19,19,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,positif
20,20,"Di gambar warna hitam, yg datang oren",4,positif
21,21,sangat puas belnja di toko ini,4,positif
22,22,barang sampai selamat sampai tujuan dengan waktu yang singkat dan owner fast respon. good job,4,positif
23,23,"Di gambar warna hitam, yg datang oren",4,positif
24,24,sangat puas belnja di toko ini,4,positif
25,25,mantap,4,positif
26,71,kotak nya agak rusak sedikit tpi mudah2an hp nya ga ppa blum di buka soal nya. dan kurir nya paket nya di titipin gak di anterin di rumah lumayan jauh juga ngambil paket... ,4,positif
27,72,"pengiriman cepat, barang sesuai pesanan mantuul",4,positif
28,73,ini pembelian kedua karena hape pertama ilang. hape kedua ini kayanya dapet gacha an:( batre nya boros pars dahal baru beli,4,positif
29,74,"barang nya da sampai untuk sementara puas, yang pasti kurir nya cepat bener",4,positif
30,75,"Masalah sms premium, tidak ada setting. Setelah factory reset bbrp kali, baru berhasil. pulsa terpakai 50 rb lbh",4,positif
31,76,"packing, waktu pengiriman standar",4,positif
32,77,jos,4,positif
