nama,komentar
S***n,ukurannya pas dan nyaman dibadan
Tommy,Nyaman sekali dipakainya.
Herman,Abu abu muda. Salah satu warna favorit.Kualitas sama dengan 2018. Pertahankan kualitas dan layanan ya 👍👍👍👍👍
Farid,"Bahan adem, cuma mungkin karena putih dan slimfit jadi menerawang 😂"
Fajar,"Cocok ukuran L yang punya bb 70kg, bahannya adem, packingnya juga bagus. terimakasih"
Dede,bagus terimakasih yaa
Tomy,"pembelian ke3, seller rekomended"
Muhammad,mantap kualitas bahannya.. enak dan nyaman dipakainya
Anggi,pas dibadan dan bahan nyaman
DJONG,"oke banget bahan bagus ukuran juga pas, respon dan pengirimannya cepat barang sesuai dengan discripsi"
Rial,ok nice
y***a,ukuran & bahannya enak
Nopik,bahan adem
A***n,"Pembelian kedua, overall puas"
Dimas,"muantab mas bro gk kan nyesel ... dingin . kepake asli bahan N model nya.. udah eksekusi aja jangan ragu buat kaos nih....👍 sukses selalu Sealer.. sistem pengiriman bara... "
B***y,WELL DONE👍
I***A,josss
Tomy,model keren nich....berani maju dach
S***y,bagus adem
iant,"Pas banget ukuranya ... jahitan jg rapi,"
satria,mantaaaabbb.. 👍
Yunita,puasssss sekali
Michael,"barang nya bagus-bagus , rapih jahitannya , sangat cepat pengirimannya dengan seperti itu saya merasa nyaman.. terimakasih Rava"
A***o,Kualitas produk bagus Ukuran sesuai Jahitannya rapi Nyaman dipakai Warnanya mantap Tidak menerawang Bahan menyerap keringat Bahannya lembut Bahannya adem
nana,bagus nyaman rapih sesuai gambar
f***i,"kualitas bagus, sesuai dengan harapan saya"
Hamzah,pembelian kedua disini. Baju+celana nya enak dipake n pas dibadan. Ntr klo ada model baru order lagi.
A***i,"barang bagus, walau bahan tipis ada harga ada kualitas itu aja sekian terimakasih"
Wilman,keren
Taufiq,ok👍👍👍
D***i,"bagus bahannya utk harga segitu...terima kasih, pengiriman dan packing jg baik"
komarudin,sudah sering belanja di sini dan sangat puas..kualitas bahan lembut dan nyaman di pakai..
andre,manteb
A***o,sesuai foto
D***g,mancapp
Yogi,Nyaman dipakai ga bikin keringetan
Eko,"mantap bahan sesuai ekspektasi,pengiriman cepat pake bebas ongkir juga,sukses terus bos"
Antoni,Mantap
A***f,Keren bajunya…adem
irish,"Sudah yg ke tiga kalinya order, dan tdk pernah mengecewakan..😘😘"
Al,"Pengiriman cepat, kaosnya bagus"
Suandi,"kualitas baju cukup oke, nyaman dipakai, ukuran lumayan fit di badan"
A***g,"barang sesuai deskripsi, packing rapi Dan pengiriman cepat Sampai..."
Fityan,terima kasih
Steven,bagus banget suami aku suka bgt bakal ro ini sih warna lainnya
Kiki,bahan bagus! seller gercep dan barang cpt sampai 👍🏻👍🏻👍🏻
H***q,Mantap gan sesuai pesanan pengiriman cepat mantap pokok ee la😁👍
Shella,
Belinda,
AKIL,
