nama,komentar
r***n,ok... hanya saja ekspedisinya lama
Antoni,yg warna hitam agak longgar
D***g,"Bahan tidak terlau tebal, tapi jahitan lumayan rapih dan dipakai adem. Spertinya akan langganan disini saya 👍🏻"
K***g,Kualitas produk bagus. Bahannya adem.
A***i,panjang nya kurang 2cm dari yg dijanjikan
F***r,boleh lah
Muhammad,noice..
Fini,ukuran salah. jadi Saya pesan lagi. mudah mudahan yang Saya pesan lagi tidak salah ukurannya.
E***h,"mantap gan, bahan'a enak dikenakan'a"
Daniel,"Lumayan bagusss,kereeeennnnn"
Reno,"sesuai pesanan modtlvdan ukuran pas, puas"
A***d,"barang sesuai gambar , tp saya pesan 2 warna..hitam dan abu"" ,knp yg hitam bahan nya lebih tebel ya? dan abu"" lbh tipis bahan nya"
Long,"Kaosnya bagus, bahanya gak murahan,jaitan rapi,sizenya sesuai ukuran standar dan gak bohong.poko e mantap"
Luhut,Harga murah tapi ngak murahan🔥
oyan,"Bagus,jahitan rapi,dan bahan ga tebal. Cocok untuk tempat yg bkn pegunungan"
Long,cocok untuk dipake sehari-hari...
A***i,barang pesanan lumayan good sesuai dgn harga..
A***n,"barang sesuai orderan, ukuran pas."
Nadhifa,bahanya lumayan bagus
KakRosRizky,sa suka
MAES,Top 👍
Aris,respon seller cepat dan baik. barang oke. datang sesuai pesanan dan deskripsi 👍👍👍
Dane,Pelayanan.dampekingan ny rapi..pengiriman barang juga cepat Orderan sesuai yg do order Ok terima kasih.. .
Joel,kualitas ok
Awaluddin,Good
irani,"Kualitas ok sesuai tapi sayang 1 ada yg menggunakan kantong padahal difoto tidak pakai,jadi tidak sesuai."
Maulana,"Sesuai dengan hargax, kualitas tdk pernah salah"
Rakhmat,ok... memuaskan
Muhammad,"Barang cepat sampai. Kualitas sesuai harga, mantap"
Muhammad,Ini pembelian kedua. Tapi kok tebelan dan bagusan yang pembelia pertama
Bang,Barang bagus pas dipakai
Ayik,Barang ok sesuai dgn harga
Ahmad,pengiriman cepat..ternyata kurang longgar dikit buat saya..tinggi 167 berat 65kg size L..bahan sesuai harga gk terlalu tebal..
Karyadi,ada baiknya produk yg dijual bahan yg berkualitas paling tidak kalau kaos bahan katun. ..
luthfi,Thanks barang sesuai pesanan
A,"Bahan lumayan bagus, cuma beda warna dengan size yg sama (XL) tapi actualnya beda ukuran lebih 2 cm. So far so good delivery sesuai 1 day service."
Subiyanto,Bahan nyaman di pake...adem
Queen,Mantap Thanks yaa barang udah sesuai permintaan
S***t,Pengiriman cepat dan rapih
Okta,"Bagian chat responsif, kaos dari bahan katun, adem, sesuai display, packaging sangat rapih, thanks seller"
r***y,"Barang bagus dan adem , sukses slalu gan"
M***d,"Pengiriman cepat,saler ramah..bahan lumayan tebal"
Nofita,"Bagus cocok banget, pengiriman cepat"
Ar,Fast respon dan barang sesuai pesanan
I***a,"Sesuai deskripsi, pengiriman cepat. Terima kasih."
Adin,"bahan kaos combed 30s, enak sih adem, pengiriman juga cepat."
Agus,"Bahannya lumayan si, tapi comfort buat dipake. Worth it lah buat gaya2an gak terlalu keliatan bahannya"
Samuel,"Bajunya bagus, alhamdulillah pas, meskipun ga sesuai sama request size dan warnanya"
Muhammad,"Boleh lah, cuman bagian lengannya terlalu panjang dan besar untuk ukuran M. Agak gak balance aja gitu bagian badan sama lengannya.."
Andira,
