nama,komentar
Heppy,bahan super tipis
A***n,"Sangat Kecewa,estimasi tgl.15-17.,nyatax tanggal 19 baru tiba,jelek banget playananx"
Ramadhanu,"Baru kali ini, saya sangat kecewa dengan pelayanan rava.. Benar - benar kecewa.. Semoga hal ini bisa jadi pelajaran buat para pembeli dan juga pihak rava sendiri.. Barang... "
R***t,"Apess ketipu, baju cotton import tapiBahan kaos partai."
M***h,"Admin sangat lemot, respon sangat sangat sangat kurang. TIDAK direkomendasikan"
adi,"Parah, ada bekas semacam lem jadi warnanya ada yang pudar"
Arie,kaos sampe sekarang ga ada sampe ke rumah. dimana saya bisa protes
berkahjaya,"kok kayak gini ya pelayanan di Rava ID yg kaosnya bnyk dpt bntang 5 ???? order pertama sdh APESSSSSSSSSSSS?? dpt kaos yg wrnanya GAK SESUAI SEMUA, pesen maroon & abu tua... "
Fajry,"Ukuran tdk sesuai ,bahan tipis kemahalan harga segt"
Iyan,Banyak sulapan yang asli S hanya satu. Saya kecewa
uchu,"Barang tidak sesuai dengan yg z pesan pertama n kemarin z pesan warna navy pas dengan badan z kainx jga bagus terus z pesan lagi maroon ndh sama panjang dengan warna navy... "
