nama,komentar
Centra,kualitas jelek
E***g,Bahanya tipis
topan,"warna gk sesuai,pdhal udh ngarep bnget brang ny sesuai gmbar ,trnyata malah jauh beda"
Ibnu,"Alhamdulillah.. Saya sudah 3x belanja di toko ini... Barang sesuai pesanan, dan pas di badan.. pekingan rapih, in syaa Alloh rekomended.. sukses selalu gan.."
Rochmad,"Bagi saya Harga SANGAT TERLALU MAHAL dibanding kwalitas, Gambar ulasan saya, lengan pendek beli di Mini Market dan saya punya banyak u/ kaos dalam. Seller Ramah, Terimaka... "
Abiyyu,"Pengiriman lambat, kurang responsif"
Ester,Biasa aja...tipis bahannya
Anwar,Bagus di foto drpd asli nya
Rinaldi,Dikasih yang jaitan nya kurang rapih hmmm hmm
Muhammad,"Beli yg warna putih, kualitasnya kurang sih. Ukuran M nya agak lebih kecil drpd yg lengan pendek"
Ahmad,bahan nya tipis pentil saya keliatan
Irwandi,"Bintang u/pelayanan nya. Transaksi hari jumat 6 april, mengaku barang sudah dikirimkan ternyata baru dikirimkan hari senin 9 april sore, update no kiriman rabu 11 april.... "
Toni,Biasa aja kualitas ya... Wajar sama harganya
Nur,ketepatan waktu pengiriman kurang.
H,"Tidak sesuai poto, heheheheheheheheheheheheheheheheheheheehehehehehe"
ade,lumayan la baju nya tapi... baju nya panas
