nama,komentar
N***i,Produk spt di foto seller.. what u pay what u get.
t***o,👍
t***o,👌
Fajar,"Agak bingung sih sama sama XL, tapi kok yang satu ke gedean yang satu ke kecilan, ternyata beda merk 😅"
Geoff,Slow transport
Indra,sesuai diskripsi kualitas sesuai harga good job lanjutken
M***s,"jahitan, kancing rapih , rekomen nih"
l***o,"kualitas bagusgan,lumayan tebal,dengan harga yang murah,gak nyesel belinya,oh iya kemarin bagian kerahnya ketarik sedikit masa langsung robek sih,semoga tahanlah satu tah... "
Firman,"Harganya oke, tp sayang size S nya kecil bgt, lebih kecil dari size S biasanya, kayanya harus naik 1-2 size"
m***f,"kualitas lumayan soalnya aga gerah, saya order polos warna hitam size s"
IPNU,proses pengirimannya cepat bahan lumayan bagus
Angger,"@aripraditya28 . 23 OCT 2021 Harga Rp28.900. Pengiriman lama. Jahitan krg rapi. Bahan kain bkn mnyerap kringat. Kualitas sesuai harga. Tinggiku 160, bb 55 pake ukuran M.... "
D***i,"ukuran S kecil bgt gak seperti biasanya,, tapi lumayanlah sesuai harga"
Nurhadi,barang sesuai pesanan...
Nur,"packing rapi, pengiriman cepat, produk sesuai harga. sayang ya warna salemnya tdk real pict"
Betty,Utk M nya kecil. Lbh baik naikin 1 size.
Ade,"barang sesuai pesanan , pengiriman lmyan CPT, thx seller sukses sll"
I***n,pesan 2 ukuran yang xl mantap dan satu lagi yang S tidak ada kancingnya. memang model seperti itu atau cacat barangnya. kalau ndak ada kancingnya jelek dipakai jadinya..
K***m,tdk sesuai permintaan mau nya biru benhur dan tosca di kirm abu abu ke dua nya
Eny,"kaos nya yg di kirim beda2 merk merk for1 lbh kecil dr yg LJ92 padahal sama ukuran L for1 jahitan lebih rapi dr pd yg LJ92 jahitannya berantakan kwalitas bhan sama bgs,s... "
Wendi,"bajunya berbulu, jahitan ada yang salah, sesuai harga"
r***t,Lumayan buat Gonta ganti sehari hari
Andi,"seller responsif, brg sesuai deskripsi, expedisi jelek brg d lempar walau ada org d rmh. Best utk seller nya."
Panji,cakep.......
D***s,"lumayan, sesuai ma harga 🙏"
risky,"barang sesuai pesanan dan pas , dan dapet gratis masker... makasih ya... keren 😉"
M***d,Sesuai Order... Terima Kasih.
D***n,good
f***n,sesuai dgn pesanan warnanya jg bagus
Fifi,lmayan bagus barangnya
Alvin,"bagus, warnanya seger keliatannya. bahan standar."
ShaDeva,"Barang ok sesuai pesanan, tp responnya lumayan lama bgt yaaa. . saya check out dan payment jam 8 pagi, baru dikirim brgnya sore jam 5an. Itupun setelah ditanya ke chat, m... "
Rezvandyo,bagus produknya
P***i,kekecilan
R***a,suka bangeeet
T***i,mantapppp cepattt kurirnya lumayan baik
Septiani,Proses cepat Pengiriman cepat Barang sesuai Mantappp
Alex,bagus lah....
ahmad,udh lama langganan tp ahir ahir ini sangatt slowresp
Evelyne,beli 2 kaos ukuran L. 1 produk bahan agaak kasar. ga nyaman di kulit. 1 lagi bahan lembut ukuran L dsini === ukuran M di toko normal
Mahardika,Paket datang sesuai pesanana Walaupun murah Tp nyaman dipakai Sesuai harga lah Ukuran pas Thanks
Chiro,ada bolong dikit tapi gak apa la untuk harga segitu
Alex,bahan oke cuma di bagian kerah agak berudul ujungnya untuk harga segini good lah
Agus,lumayan
H***i,barang bagus cuma pengiriman lama
Johan,respon cepat dan barang sesuai
Irvan,"barang sesuai yang di pesan. cuman beda warna beda bahan dan beda merk, tp lumayan buat pake nyantai."
Fauzan,Oke
F***n,
Agustina,
