nama,komentar
Nurcahyo,"alhamdulilah, paket sudah sampai.. ukuran pas banget,, sesuai pesanan.. terimakasih juragan🙏🙏"
Shofwan,bagus kaos nya...mksh bos
esa,harga sesuai produk
S***o,"sesuai aplikasi,,,trmksh"
Java,"produk sesuai deskripsi, hanya bahannya agak tipis aja"
Hendra,pokoke bntang yg bicara
F***r,"sesuai deskripsi produk, bahan dan jahitan ok. pelayanan toko bagus. terima kasih"
Ummu,"pas di badan,. nyaman saat dipake, bahan cukup tebal tapi gak bikin gerah. recomended bangett deh pokoknyaa."
stella,"pas untuk papa,bahan ok dgn harga segitu"
Hendra,dah kesekian x nya pesen
G***n,"Barang bagus, termurah se-Tokopedia"
G***n,"Barang bagus sesuai ekspektasi, pengiriman cepat"
D***y,good
Irwan,bahan nyaman gak terlalu tipis
Hendra,keren markotop
ridwan,bagusss
Verlyno,"Bahan bagus, halus.. murah jg..👍🏻"
Wahyu,Bahan nya bagus tebal dan sampenya cepet.
ridwan,mantap sesuai jos tennnan bos ku Trimakasih
Feby,Kerenn bagus bahan nya nyaman kualitas okee
Graha,keren abis
Chintya,ssuai mantap
D***y,produk mantul proses cepat. thanks seller
ANAN,"bahan cukup bagus, pengiriman sesuai estimasi,kurir baik"
Ano,goods
m,"harga sesuai dgn brng, overall sesuai bintang"
A***s,"Barang sudah sampai, thanks.............."
Hermansyah,"respon cepat, barang sesuai pesanan"
Donny,puas selalu order dimarj
t***o,"terima kasih semua pihak,,sangat memuaskan 👍👍👍👍👍"
Rio,"sumpah keren sesuai deskripsinya pokoknya top, jahitannya rapi dan respon ok banget"
R***l,"Paket kaos sdh diterima sesuai pesanan, utk harga segitu sdh lumayan banget walau agak tipis tapi cukup bagus utk dipakai santai, tks ya..."
Bepi,"Harga 30rban tapi bahan gk panas, boleh juga nih pesen lagi."
Nico,mantab banget dah pas di badan bahanya ok lah
Bambang,"Ukuran kaos nya sesuai dgn yg dipesan, sekalipun bahannya agak tipis sesuai dengan harganya , jahitannya rapi"
D***y,bahannya bagus..lumayan lah.
P***t,bahannya bagus 👍
Graha,ini baju murah kualitas bagus banget
Hermansyah,top lah
Dedy,"bahan lumayan bagus tp ada 1 brand HB yg lebih worted buat kami,,"
Hermansyah,"sesuai pesanan, respon cepat, kualitas bagus"
F***a,"Mantul.. bahan, harga, pengiriman, semua top👍"
k***a,👍👍👍👍👍
Yamsyar,Bajunya bagus
A***h,joss.......👍👍
S***h,"mantap, bahannya adem, ukuran pas, jahitan rapi, terima kasih, semoga lancar"
siswadi,Barang nya bagus.
Irawan,lumayan untuk sehari hari
Christina,"bahan tebal dan adem,bagus kualitasnya"
V***i,Kualitas bagus
