nama,komentar
Teguh,"Barang bagus. Saran saya untuk pengiriman JNE trucking di tiadakan saja, karena sangat merugikan konsumen. pengiriman 12 hari, padahal estimasi awal cuma 5-6 hari."
Christina,"maaf kasih bintang3,minta kaos yg ada list dikirim tanpa list"
K***a,"pesen XL di kirimny L, ga muat donk.....:("
A***i,"barang sesuai ukuran, hanya ukuran M disini lebih kecil dari biasanya jadi tdk bsa dipakai, disarankan kalau butuh ukuran M belinya ukuran L"
Fajar,jahitan pada sobek. kurang rapi
Uus,"barang lumayan, hanya slow respon dan pengiriman lamaaaa.."
Ahmad,"beli 2 ukuran XXL dan XL, bahan beda merk beda lebih enak bahan yg ukuran XL klo yg XXL kaku dan rada panas"
Muhamad,"sdh diterima, mksh..."
D***o,yg ukuran M agak beda warna
S***n,Saya biasa size M. Tapi Size-M di toko ini lebih kecil dari biasanya. Disayangkan
Ade,"ukuran lubang lengannya tidak sama ,yg kanan ketat yang kiri normal"
Chandra,ditulis merah biasa. yg dikirim malah merah maroon. hadehhh
I***a,Lumayan lah...sesuai harga...thx
St,"pesen 2, niatnya kaos couple gitu😁....eh dapet beda merk, dari kancing keliatan beda nih....Yo wes lah..."
Naufal,"Barangnya sih standar sesuai lah sama harganya, tapi yg bikin kecewa ukuran kaos yg kerah polos sama kaos kerah strip berbeda. Yang kerah polos size XL lebar 52 sesuai Y... "
Indra,"Kaosnya lumayan yang putih kalau yang hitam, seperti bau bangkai cicak atau apa gitu"
N***o,sip
theyn,sesuai hrga
Reno,Bahan nya panas
saiman,Barang lumayan ....Ok lah.....siip
Wahyudin,Ga asyiik ni.. Pesan beda warna. D kirim double warna
y***s,"Hatur nuhun, sesuai gmbar... Tp ada yg bolong bos.. mhn dicek lagi sblm dikirim.. dan somoga covid-19 cepat hilang di dunia Aamiin....."
Eti,Saya pesan size L dan size L nya kecil. Jadi kalau mau beli mending tambah 1 size.
A***g,"Kualitas cukup baik. Cuman bahanya bukan katun, padahal pas ditanya jawabanya katun. Padahal saya nyari yg bahan katun :("
Sunendi,Biar bintang yg bicara😊
Sufyar,"Produknya biasa2 aja, sesuai dengan harganya ..."
K***n,Jahitan kurang (tidak) rapi
Muhammad,"Beli 2 warna putih & hijau tosca size L. Yg putih pas, muat tp yg tosca gak muat lebih kecil n lebih pendek jg.. Kayaknya size L nya utk standard cewek. Sebaiknya leb... "
e***y,"Barang sesuai, packing rapi"
Tofa,"bahanya panas , kurang nyerap keringat"
H***n,"Order 3, QC kurang teliti saat kirim, jadi produk rusak nya ke kirim ke pembeli"
A***a,"Barang yg dikirim cepat sampai pertama beli , tapi pelayanan retur barang nya lama banget .. padahal ongkir akhir pelanggan juga yg nanggung , dr kemarin blg sudah dikiri... "
BTFSA,"Bahan nya agak Kaku jd krg nyaman dibadan...List Kerah baju Putih juga salah kirimnya...ada beberapa jahitan yg kurang rapih... Yah untuk harga segitu...mana bisa dapet y... "
tamara,Finishing jahitannya agak berantakan tapi Masih bisa di pakai
Kun,"Produk blm cek, cuma pengiriman lumayan lama"
Ario,Tidak perlu komen... Lihat saja biasanya.......
ipul,baranf sudah nyampe gan
SUJADA,Ada bolong kecil dibawah tanda size....sebelum kirim supaya diteliti dulu barangnya
R***i,Ukurannya lebih kecil.
sariadi,"tidak ada logo polonya yang ada Hawaian banana, padahal di judul kaos polo"
Admaji,"kualitas kain baik, harga murah,"
Yeti,Cukup bagus karena sesuai dengan harga
riduanto,Warna kuning minta 1 di kasih 2 pcs tidak sesuai warna . Minta Warna biru 1pcs ngak di kasih
Eko,Barang sudah sampai..sesuai permintaan..cuma respont lama..
Dian,untuk bahan sih ok tapi sayang di bagian kerahnya sobek 😔
yaser,"Informasi nya masih kurang baik. Setelah di beli baru di info in yang benar. Jahitannya aga kurang rapih, sesuai lah dengan harga. Terima kasih."
Rhuna,"Barang Sesuai harga,,tx"
Trifosa,"Ukuran L nya kecil, sama seperti ukuran S standard"
Ridho,"Barang sudah sy terima,bahan lembut,tapi sayang ukuran L ternyata ngepres banget😁,jd kelihatan perut buncit sy😂😂,tapi gk apa lh berarti sy sehat hahaha.."
SUJADA,Barang dah sampai....tapi ada satu yang bolong /robek dibagian ketek kaya kena mesin jahit
