nama,komentar
iyas,beli yg hijau yg datang pink
Wawan,yg di minta warna apa ..yg dikirim warna apa....gak sesuai...mana minta transfer ovo LG .. hadew
Wawan,yg di minta warna apa...yg dikirim warna apa .. hadew...mana minta transfer ovo
Handy,pelayanan kurang tanggap minta warna jangan disamain eh dikirimnya 3 bh sama semua
Aris,zong salah warna
K***M,pesan 4 bayar 4 yang datang hanya 1
m***n,"assalamualaikum,maaf ya kak knpa paketnya tidak dikirim"
S***n,"Order size L yg nyampe S, trims"
k***k,"saya tanya apa semua size ready, eh tau""nya warna yang saya pilih 1 size gk ready, malah gk bisa di batalin ordernya, terus bajunya isi lebel lagi, gk ccok untuk baju... "
C***i,untuk pengiriman lumayan cepat
Agus,"bagus pembelian pertama , gak ada kantong dan lebih tipis,"
Agus,"bagusan yg pembilian per tama ,"
Resia,"Saya pesan warna yg sama untuk ukuran XL dan M, tapi yg datang warnanya berbeda karena merk ukuran XL dan M berbeda, padahal mau dijadikan seragam"
Mahardika,kecewa ukuran M dsini = ukuran S di toko normal
Hendri,salah satu baju kaos berbau bangkai
Ayu,"VERRY2 NOT RECOMMENDED SELLER! service yg mengecewakan, order sameday order tgl 6 siang, tgl 8 br diproses itupun stlh komplen di diskusi krn via chatting GAK JELAS! K... "
I***s,"Tidak sesuai pesanan, jahitan juga kurang rapi"
Munzir,Sangat kecewa
T***a,saya beli 2x 7 pcs dan 21 pcs.. padahal nomor yg dikasih sama ternyta yg dateng beda padahal udah foto katalog wahhh parah bangett..
Zonny,Ga sempat kirim balik biar lah gapapa
Altofa,Ukuran nya kecil dan pengiriman lambat
Munzir,Makin kesini pelayanan nya kurang bagus
Raka,Pelayanan tidak memuaskan
Rosminar,"Maaf kurang sesuai harapan,jahitan kurang rapi,bahan cukup bagus"
Dokter,Tdk sesuai diskripsi.bilang merk polo ternyata yg di kirim merk benana..prises dan pengirimannya lambat bangeeet
Handy,Kecil banget ukurannya
Bambang,Yg jual tidak teliti..kapokkkkk...salah size... Beli 4 dapat cuma 3
Rachmadi,Tidak sesuai dng permintaan
Meilia,"Pesan putih dan kuning dua. Yg datang putih, kuning dan abu abu. Baca note pembelian saya kalau mau kirim. Di chat katanya ready. Gak jelas banget."
Johanes,Beli 8 dikirim 4 .di komplen percuma Kefewa berat
ari,"barang gak masalah pelayanan ny yg masalah pada saat chat katanya barang ada, mesen biru sesuai gambar dikirim dongker sudah diretur tapi tidak mengirimkan barang yg baru... "
t***u,Paket terlalu lama nyampe....payaaah
Cyndi,"Estimasi super sangat telat tgl 10 June 2019 , setelah Lebaran , mutu kaos sesuai harga warna real pic No 29, 30 krah list ok serasi paduan"
A***y,"respon admin lama dan proses pengiriman barang terlambat sehari meskipun sudha menggunakan fasilitas pengiriman same day dan order masuk sebelum jam 14.00. pengecekan bar... "
vina,"Penjual tidak bertanggung jawab atas kesalahan sendiri krn penjual tidak bisa kirim barang sesui yg disepakati dan malah menyalahkan cust oder masuk jam 1 dibilang lewat... "
vina,"Hati2 dengan toko ini penipu bilang bisa kirim hari ini tapi nyatanya ga, sblm oder sudah di tanya bisa kirim ga hari ini bilangnya bisa oder sblm jam 3 bisa kirim saya o... "
Surya,"Yang pesen no.42,yg dtg earna cmpur,pdahal buat seragam"
Kuat,"Jahitan pada jebol, bahan cacat, seharusnya diteliti dulu sebelum kirim"
Ferry,"Saya pernah beli 2x kaos disini dalam jumlah agak bynk yang pertama 44pcs dan ke dua kalinya juga 44pcs tapi pengirim yang ke dua kali barangnya ternyata kurang 1pcs sete... "
Pantja,"Beli 3 macam warna, 2 macam ukuran (S&M) tp yg dikirim hanya 2 macam warna dan 1 ukuran M. Seller tdk respon atas keterangan buyer.Mengecewakan."
Santi,Kaosnya bolong..... Ga di cek lagi yaaa......
Erika,bahan panas. beda dengan uniqlo punya. size antar warna berbeda. saya beli yg L putih lebih besar drpd ukuran L cokelat.
M***t,"Sangat kecewa karena barangnya tudak sesuai yg sy pesan tdnya sy pesan biru laut tapi yg dtng tidak sesuai dan sy pesan 4 pcs yg dtng cmn 3 pcs meskipun setelah itu dikir... "
megawaty,"ada kaos yg bolongnya sangat besar dan tidak bisa di pakai. tolong sebelum di kirim, barangnya di periksa satu per satu."
Puspa,"Katanya kekurangan mau dikirim,, tp ga dikirim jg. Mau di minta pengembalian dr aplikasi ga bisa."
Nathan,Jumlah barang yg dikirim tdk sesuai pesanan dan toko tdk bs bertanggung jawab atas kekurangan yg dikirim...
Miftahul,Produk dikirim tidak sesuai order
Agnes,"Pesan 3 pc, 2 pc salah warna, kecewa banget soalnya ini buat kasih hadiah lebaran, mau dituker udah mepet waktunya.. sangat ga rekomen seller ini"
Fadlillah,"Belanja terburuk selama saya belanja di tokopedia. Ternyata bnyaknya yg sudah beli di toko ini gak menjamin toko ini bagus. Saya pesan baju 3 pcs yg dikirim cuma 1. Di ko... "
Lucky,"Di keterangan 100% cotton bukan PE, tapi ternyata yg saya terima PE juga"
