nama,komentar
D***i,"sizenya pas, bahan nyaman"
ade,"pas dibadan,bahan y ga gerah. Mantap 👍👍👍"
R***a,"Barang aman, tiba sesuai estimasi"
Indra,Sesuai deskripsi.. keren lah..
s***d,bahannya enak halus dan cukup tebel
R***n,"Bagus, nyaman digunakan, & ukuran pas"
Ardiansah,Bagus
Wan,💯
M***a,oke
Anggi,Bahan nyaman dan tidak gerah
Rachmad,bagus
Mochamad,ok
Syofian,"ya emang bagus bahannya. adem, lembut. disablon juga bagus."
F***e,mantap
darwis,mantul 😁👌
Nuzulul,bagus pokok e
H***s,good
A***n,lebih tipis dari ekspetasi tapi bagus
jayaa,"murah meriah mantap,kain tidak murahan"
M***d,"Untuk warna hitam dan navy agak lebih besar sedikit meskipun sama-sama M. Overall good, baju bagus. adminnya fast respon dan baik. Terima kasih banyak 😊"
raditya,"kualitas kaosnya sangat baik, bahannya adem, packing rapi"
L***L,bahannya bagus dan nyaman dipakai
I***g,sesuai ekspektasi... mantap...
Bella,keren mantappp
Fajar,top
zaynmohammed,keren saya suka dari dulu
T***u,👍👍👍👍👍👍👍
Y***p,Nyaman dan selalu rapih. pengiriman cepat!
C***a,"Ukuran sangat sesuai, bahannya bagus."
Agung,ok
Hanif,"lebih baik pesan 1 size ukuran asli karena bahan pre-shrunk, jadi akan sedikit menyusut pasca pencucian pertama. selain itu produknya bagus, warna sesuai"
lidia,Bahan baguss halus
Kevin,"Seller sangat responsif, pengiriman cepat dan barang sesuai deskripsi dan baik. Terima kasih Kak."
Budianto,ini mah adeeem
johan,"bahan bagus, tebal. asli new states apparel"
A***i,"bahan enak adem dan tebal, size lokal"
Nasor,"sesuai deskripsi, thank you gan."
Agung,ok
Muhammad,Tidak perlu diragukan kualitasnya sejauh ini
darwis,mantul 😁👌
B***y,"barang bagus, pengiriman cepat sampai"
G***n,Terbaik 👍
Andre,sesuai pesanan n nyaman dipakai. 🔥
M***d,"bahannya bagus, pakaian polos yang kece"
Zhaqy,good
Eric,Bagus..
Eric,Pengiriman cepat packing mantab
Eric,Pengiriman cepat packing mantab
darwis,mantul 😁👌
i***n,Terimakasih banyak ya....
