nama,komentar
Fikar,"badan gue yg udah panjang tulang belakangnya masih lebih panjang kaos ini, kek lengan dan oebar udah pas tapi panjangnya kepanjangan, ya bagus aja si kalo doyan kaosnya d... "
Lanang,"Sesuai dengan harganya, cukupan lah, jangan meminta bahan yang lembut banget atau terasa mahal, cukup aja"
Nindo,"kain halus dan bagus, ukuran sesuai, pingiriman agak lama... tpi overall suka..."
B***a,Lumayan lah sesuai harga
J***l,Agak tipisan
Y***a,panjang ke bawah
A***d,barang sudah sampai dengan baik kualitasnya bagus pengiriman cepat recommended seller
Putri,"Bagus bahannya cuma packingnya minus bgt pas diterima sobek sedikit plastiknya untuk ga basah bajunya, semoga bs dibenarkan lg packing karena belanja online penting untuk... "
T***n,agak tipis
panglima,gak sesuai ekspetasi dr segi kualitas. tapi sesuai dengan harga.
Geraldo,Pas dan bagus. Thank you.
Dedi,M nya kepanjangan. Jadi kyk baju tidur
D***e,"Bahan Ok, jaitan hrs d improve & cutting"
B***s,real pic harga sesuai barang fast shipping packing cuma dibungkus plastik 1 lapis
Hardi,barang bagus
Rofik,"NSA gak kya dlu, skrg yg premium tipis bhannya. but still Ok Nyaman dipakai. Jahitannya rapi. Ukuran sesuai."
J***e,Modelnya keren 😎 Warnanya mantap Jahitannya rapi Ukuran sesuai Bahannya adem.. cuman agak sedikit menerawang yah buat warna putihnya.. overall good sih
Erwan,"Respon seller bagus, size dan warnanya sesuai, pengiriman juga cepat. Tapi bahannya ternyata lebih tipis dari ekspektasi saya. Jadi, saya kasih bintang 4 saja ya. Thanks"
S***n,mantap
D***e,good
Bena,ini ukurannya xxl tapi gede banget kaya ukuran 2xxl
Praguntoro,produk sesuai dengan deskripsi penjual
A***h,Menurut ku sih bukan 24s karena agak tipis tapi overal lumayan lah untuk harganya
Hasan,"mantap, bahannya dingin..."
ahmad,yang sekarang agak tipis
a***a,"Pengiriman cepet banget, sesuai request, barang sesuai deskripsi, penjual responsif"
A***o,tinggi 175 berat 65 pas M bahan enak dipakai dirmh ukuran leher kecil jd kurang enak di pakai
BUDI,Leh ugha.
Fadel,kainnya lumayan
M***n,sip
x***x,😂
Oki,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Mistra,ukuran besar banget
Ayziffy,Bagus
A***l,"bajunya bagus, cmn pengiriman lama, mungkin bisa diganti opsi kurir dari bebas ongkirnya."
a***m,"Pengiriman cepat, ukurannya juga sesuai, bahannya ga sesuai yang dipikirin, tapi ok lah."
G***s,enak dipakai. adem.
Diki,Pokonya kerenlah
Ayziffy,bahan bagus tidak gerah
I***l,So far lumayan lah... sesuai harga. Hanya dari 3 yg dipesan dgn ukuran sama( S) warna putih kecilan dari lainnya.
Iriani,Kualitas baik dan pengiriman juga baik.
E***a,Tebel sih kainnya cuma agak kasar dikit ya.. Potongan kaosnya kurang pas dikit buat saya.. Tapi yaa ini tergantung selera masing2 sih..
b***u,Bagus...adem
Lilik,"Bahan bagus, kuat, tapi kurang stretch jadi supaya aman belinya jangan pas ukurannya."
Taufiq,
