nama,komentar
R***i,beli dua size m warna forest green ama sand tapi sizenya malah kecilan yang forest green
J***a,tidak ada plastik pembungkus di masing2 baju yg saya beli
M***d,bahannya bagus tapi untuk warna putihnya tuh kurang putih ngga seperti warna putih yg bahannya drifit
R***i,ukuran tidak konsisten
R***i,"tekstur kain tidak seperti pembelian sebelumnya, bahan terasa lebih licin dan lebih tipis"
Ikhwan,size M nya ga 50 x 70 tapi 52 x 72 jadi agak kebesaran di saya ga sesuai deskripsi
I***n,"saya sudah beberapa kali beli di sini tapi masing2 kaos (XXL) ukuran riil nya tidak sama, ada yg besar banget, ada yg kekecilan, ada yg sempit di bagian kerahnya"
B***s,packing plastik mohon diperbaiki ada bbrpa bagian packing sobek mgkn tersangkut untung bajunya aman kain halus + adem harga sesuai kualitas
W***y,tipis
Antonius,Kenapa gak di packing palastik ?
Akhdan,"Sebenernya barangnya bagus, tp pengirimannya sempet bermasalah di kurir, jd lama bgt. Semoga hal kaya gini ga keulang lagi"
A***h,"saran saya di deskripsi tertera kainnya cotton combed 24s ganti aja jadi cotton combed 30s, pembohong katanya kain cotton 24s aslinya sama aja kyk baju saya yg cotton 30s... "
Tengku,"24s seperti 30s, tipis tapi adem, build quality kurang oke buat harganya tapi masih worth lah"
Gilang,Barangnya yg datang kebesaran 😂
Rifal,premium cotton tapi gerah cuy.. soalnya bahannya katin 50% dan polister 50%.. enakan yg softstyle lebih adem
R***a,Bagian leher cepet sekali longgar
Alifoji,official store tapi packing kaki lima. pesen 6 dilipet jadi satu ditaro plastik.
A***y,"Beda warna antara M dan L, yang L agak kemerahan"
ricky,"lumayan, cuma kecewa pesan lengan pendek yg dtg satunya lengan panjang"
Surianto,"Warna satunya tidak sesuai dengan psanan, dua” nya dikirim wrna yg sama, psannya 1 wrna berbeda tpi sampainya dengan wrna yg sma"
Andre,UKURAN BAJU LEBIH BESAR DARI SIZE CHART DAN BAHAN PANAS
Resha,Dua duanya XL tapi ukuran charcoal jauh lebih besar Bisa dituker ga ya?
Esti,Warna nya ga sesuai foto
e***y,sudah sesuai
D***a,"Persoalan size, ukuran white L sangat tidak sesuai dengan ukuran di deskripsi. Sangat lebih besar. Warna navy ukurannya sesuai dengan deskripsi. Lihat foto, dengan 2 ukur... "
