,nama,komentar,rating
0,S***n,ukurannya pas dan nyaman dibadan,5
1,Tommy,Nyaman sekali dipakainya.,5
2,Herman,Abu abu muda. Salah satu warna favorit.Kualitas sama dengan 2018. Pertahankan kualitas dan layanan ya 👍👍👍👍👍,5
3,Farid,"Bahan adem, cuma mungkin karena putih dan slimfit jadi menerawang 😂",5
4,Fajar,"Cocok ukuran L yang punya bb 70kg, bahannya adem, packingnya juga bagus. terimakasih",5
5,Dede,bagus terimakasih yaa,5
6,Tomy,"pembelian ke3, seller rekomended",5
7,Muhammad,mantap kualitas bahannya.. enak dan nyaman dipakainya,5
8,Anggi,pas dibadan dan bahan nyaman,5
9,DJONG,"oke banget bahan bagus ukuran juga pas, respon dan pengirimannya cepat barang sesuai dengan discripsi",5
10,Rial,ok nice,5
11,y***a,ukuran & bahannya enak,5
12,Nopik,bahan adem,5
13,A***n,"Pembelian kedua, overall puas",5
14,Dimas,muantab mas bro gk kan nyesel ... dingin . kepake asli bahan N model nya.. udah eksekusi aja jangan ragu buat kaos nih....👍 sukses selalu Sealer.. sistem pengiriman bara... ,5
15,B***y,WELL DONE👍,5
16,I***A,josss,5
17,Tomy,model keren nich....berani maju dach,5
18,S***y,bagus adem,5
19,iant,"Pas banget ukuranya ... jahitan jg rapi,",5
20,satria,mantaaaabbb.. 👍,5
21,Yunita,puasssss sekali,5
22,Michael,"barang nya bagus-bagus , rapih jahitannya , sangat cepat pengirimannya dengan seperti itu saya merasa nyaman.. terimakasih Rava",5
23,A***o,Kualitas produk bagus Ukuran sesuai Jahitannya rapi Nyaman dipakai Warnanya mantap Tidak menerawang Bahan menyerap keringat Bahannya lembut Bahannya adem,5
24,nana,bagus nyaman rapih sesuai gambar,5
25,f***i,"kualitas bagus, sesuai dengan harapan saya",5
26,Hamzah,pembelian kedua disini. Baju+celana nya enak dipake n pas dibadan. Ntr klo ada model baru order lagi.,5
27,A***i,"barang bagus, walau bahan tipis ada harga ada kualitas itu aja sekian terimakasih",5
28,Wilman,keren,5
29,Taufiq,ok👍👍👍,5
30,D***i,"bagus bahannya utk harga segitu...terima kasih, pengiriman dan packing jg baik",5
31,komarudin,sudah sering belanja di sini dan sangat puas..kualitas bahan lembut dan nyaman di pakai..,5
32,andre,manteb,5
33,A***o,sesuai foto,5
34,D***g,mancapp,5
35,Yogi,Nyaman dipakai ga bikin keringetan,5
36,Eko,"mantap bahan sesuai ekspektasi,pengiriman cepat pake bebas ongkir juga,sukses terus bos",5
37,Antoni,Mantap,5
38,A***f,Keren bajunya…adem,5
39,irish,"Sudah yg ke tiga kalinya order, dan tdk pernah mengecewakan..😘😘",5
40,Al,"Pengiriman cepat, kaosnya bagus",5
41,Suandi,"kualitas baju cukup oke, nyaman dipakai, ukuran lumayan fit di badan",5
42,A***g,"barang sesuai deskripsi, packing rapi Dan pengiriman cepat Sampai...",5
43,Fityan,terima kasih,5
44,Steven,bagus banget suami aku suka bgt bakal ro ini sih warna lainnya,5
45,Kiki,bahan bagus! seller gercep dan barang cpt sampai 👍🏻👍🏻👍🏻,5
46,H***q,Mantap gan sesuai pesanan pengiriman cepat mantap pokok ee la😁👍,5
47,Shella,,5
48,Belinda,,5
49,AKIL,,5
