nama,komentar
j***f,Barang Ok.. BNIB Packing bubble warp tebal.. Seller responsive.. Kirim pakai JNE lambat.. 5 hari muter2 di jakarta terus barangnya..
Tiee,Barang mulus dan baik min. Cepat hari itu juga sampai. Terbaek
k***a,trusted
Arif,wih barang nya udh sampai cepat
Shanty,"Pertama beli iphone disini, trus skg macbook air M1. Happy dan puas bgt. Barang asli ibox, packaging rapi, bubble wrap extra, pengiriman ke Bali cepet dan aman. Admin ger... "
E,"toko reckomen,, CS ramah 🙏 laptopnya seperti yg di harapkan.. terima kasih semoga awet.."
Mohammad,"Respon oke barang baru, cuman kalo mw di install free office nya sensasi unboxing nya hilang 🤣 overall bagus rec seller"
S***f,"Seller respon cepat bosku, barang ori langsung cek out bosku"
E***n,"service nya sangat cepat dan memuaskan, dikasi bonus mouse lagi… thanks ya"
E***i,Mantab
Eji,puas
Eji,Recommended
E***i,mantap...
E***i,sesuai Pesanan Barang Gres garansi I Box
Eji,barang Gress... sesuai pesanan
Hedri,Unit original apple. Cocok dipadukan dg ipad.
Sam,"PELAYANAN SANGAT BAIK DAN RESPON SANGAT CEPAT, PENGIRIMAN CEPAT DAN PENGIRIMAN PAKAI SI CEPAT JADI SANGAT CEPAT SEMUA HEHEHE. POKOK NYA TERBAIK, TERIMA KASIH"
Mhd,"mouse nya rusak gratis tapi rusak, buat apa?"
Widi,"Original, respon cepat beli dikasih bonus"
Andrew,"Bagus, original, good service, pengiriman gosend cepet"
I***n,Barang original
S***a,Pelayanan memuaskan selama proses pembelian. Trusted.
hilmi,Topp seller semoga aman dan awet👍🏻👍🏻
Ina,udah beli 3macbook dari sini all good. respon admin jg cepat. thanks ya
Ina,udah beli 3macbook dari sini all good. respon admin jg cepat. thanks ya
Andhika,toko langganan dari sebelum punya toko di tokped cheers bang
L***s,jos gandos!
R***a,Trusted! Sellernya informatif ngejawab semua pertanyaan daan fast response banget. Thank you seller
Mohamad,"Barang datang dengan packing rapi, full bubble wrap, dapet bonus pelindung keyboard, mouse, dan office sesuai deskripsi. Barang sejauh ini aman banget, garansi aman sudah... "
A***n,"Toko terbaik sih ini memang. Respon seller cepat, harga lebih murah dari toko-toko lain, packing sangat baik (bubble wrap berlapis-lapis dan double box), pengiriman langs... "
Abie,"Top pelayananya ,Terpercaya ,barang tiba dgn selamat , semoga awet barangnya"
abibold,"Sesuai request, mantab, semoga barang aman selalu biar gak ganggu admin dgn garansinya. Minta video unboxing dikasih, di install in juga ms officenya"
Theresia,Cepet banget penjual juga ramah aman bangett beli disini thankyouu
Herwanto,Mantap banget
I***n,"Seller responsif, helpful, dan pengiriman cepat"
Ali,"Aman cepat terjamin asik cashback nya pun mantap, chat responsive dan kualitas terjamin. Recommended 👌🏽"
Isti,"udah riset kesana kemari, dan gue memutuskan beli di sini. good store"
Disky,"Sellernya mantap responsif sekali, pesan pagi, 2 jam kemudian sampai, barang segel dikasih bonus pula, mantap.. makasih gan! ga ragu beli disini!"
M***e,lancar jaya setelah dipakai 3 minggu
Prita,"Macbook air berjalan lancar dan mulus pas sampai di rumah. Cuma agak kesulitan untuk install free office-nya. But, it’s okay! Selama laptop bisa digunakan dengan baik, se... "
