nama,komentar
D***y,"Admin fast respon kalau mau membeli, setelah membeli agak slow respon. Meminta admin untuk instal office, tetapi ada kendala untuk pswd macbook nya krn berbeda dgn yg dik... "
Gifari,"Mantapp langsung beli pakai kurir instan, semuanya mulus dan ori ofc. Admin tokpednya jawabnya gece. Tapi kurangnya cuma di warrantynya aja ko udh jalan dari september ya... "
Louis,"sempet dag dig dug soalnya 3 hari ga gerak barangnya waktu datang ternyata ga di packing kayu jd makin was2 setelah dibuka ada penyok di sudut box, haduhh..moga barang gp... "
David,"Packaging baik, respon seller saat berjualan jg baik. Sedikit kecewa dengan pengiriman, dimana diproses baru jam 5 sore, sudah diinfo dari awal kalau kantor tutup jam 5.... "
Q***a,"Jujur aftersales lama tanggapannya butuh hampir seminggu utk resolve permasalahan mengenai bagaimana nanti saya cara klaim garansi lgsg ke ibox karena tidak dikirimkan in... "
f***z,"box nya penyok, tapi overall bagus"
hidayanto,ga dikasih MS office
DZIKA,"produknya bagus cuma goldnya gaada, sayang sekali kawan."
Faishal,"Bubblewrapnya kurang tebal jadi agak peyok di ujung bungkusnya, kirain ada kardus coklatnya ternyata tidak tapi laptopnya aman berfungsi dengan baik."
R***t,"Barang ori dan BNIB belum dibuka. Packing bubble. Sayang g ada packing kayu. Harga juga termasuk murah. Bagi yg mo beli cash ingat pake debit, jgn kartu kredit biar g ken... "
Desi,"1. Produk sn terdaftar SN nya pada wab apple, tpi belum didaftarin memang, 2.Pembicaran pengiriman dengan kenyataan berbeda, minggu di tanya bisa instant katanya bisa s... "
S***t,Agak sulit berkomunikasi dengan seller. Tapi overall OK. Thanks
R***i,bagus...
Thaariq,"Barang aman (karena emng pesen extra bubble wrap + packing kayu) Milih jasa Next Day (ETA 23/24 Mei, tapi 24 Mei baru dikirim) tiap ditanya resi alasan kalo di packing k... "
Satria,"barangnya oke banget dan adminnya fast respon tp agak kecewa beli senin dan bilang bisa dikirim hari itu juga tapi baru dikirim hari rabu padahal hari senin dan selasanya... "
R***i,"Mohon packing diperbaiki lagi, mungkin bisa ditambah sikut biar ga penyok pojoknya. Untuk produknya baguss"
Shafly,"barangnya ori, packing ok. minusnya hanya bagian cs dengan gudang kurang dalam komunikasi. pesan grabsend instant dan selesai bayar di jam 13.00 namun request pickupnya 1... "
J***n,"produk oke, respon seller oke, packing yg sangat jelek dan tidak aman , hrg brg 16 jt cm di bungkus pakai 1 plastik kresek ama lakban aja, pada hal klo pakai bubble wape... "
V***t,"Barang bagus, tapi pengirimannya lambat butuh waktu hingga 3 hari padahal menggunakan instant delivery."
Muhammad,"produk bagus,dikasih video unboxingnya karena sekalian instalin officenya,,sayang tidak dipasangin sekalian pelindung layarnya,padahal sdh dikasih catatan,krn klo pasang... "
Said,"Barangnya bagus! Apalagi saya ambil langsung ke Toko karena buru2 jadi bener2 buka disana bareng mas2nya. Serial numbernya dicek di web Apple juga real. Jadi keaslian ter... "
Tesalonika,"barangnya bagus, tp sempet ketuker oleh JNE jd terimanya lama bgt. Seller lupa install office, tp overall sangat baik lah"
Ronald,"Produk original, Baik. Hanya saja pengiriman cukup lama, menggunakan same day tapi dari proses hingga pengiriman hampir memakan waktu 24 jam (which is very long)."
Siska,"Overall cukup terpuaskan dengan pelayanan Toko New RizkyApple. Termasuk Seller Toped untuk Produk Apple dengan harga termurah sptnya. Catatan gw selama transaksi dan nun... "
Sulistyo,"Pelayanan bagus, respon cepat, barang sampe dengan kondisi 100% no tipu2, dapet screen guard mayan, rekomended seller lah pokoknya"
Aidil,"produce nya original. admin nya juga responsif. ak kasih bintang 4 karna awalnya mesen pake kayu, tapi dateng2 ga ada packing kayu"
Finna,"Macbook Air M1 100% legit!! Inter ny barang US mantap!! Kecepatan pengiriman cukup oke. Harga packing kayunya paling murah se-tokped. Dus agak penyok sedikit setelah sa... "
G***g,mantap barang ori
M***M,"Barang kondisi baik, cm dus penyok ketika tiba. Saya padahal minta di kasih dus coklat bawaan apple store, tp gak dikasih"
G***a,"kualitas oke, pengiriman cepat, cuma belum beli seminggu harga da turun 600rb an :( overall memuaskan"
R***l,"Seller responsif, produk ori, udah di instalin ms. office. packaging juga aman. Ku kasih bintang 4 karena aga meleset aja dari waktu PO. Tapi secara umum, recommended sel... "
F***a,"kualitas oke, pengiriman cepat, cuma belum beli seminggu harga da turun 600rb an :( overall memuaskan"
R***l,"Seller responsif, produk ori, udah di instalin ms. office. packaging juga aman. Ku kasih bintang 4 karena aga meleset aja dari waktu PO. Tapi secara umum, recommended sel... "
F***a,
